Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,ERJ-2BWFR050X,resistors\resistor,50m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.25W, 1/4W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.05 OHM 1% 1/4W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,Panasonic Electronic Components,,,
,SCRR0603SG-R200F,resistors\resistor,200m,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.25W, 1/4W",,,0603 1/4W 200MO 1%,Surface Mount,,2,,,,Delta Electronics/Cyntec,,,
,RLP73N1ER10JTD,resistors\resistor,100m,±5%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.125W, 1/8W",,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773269&DocType=DS&DocLang=English,RES 0.1 OHM 5% 1/8W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±300ppm/°C,-55°C ~ 155°C,,TE Connectivity Passive Product,,,
,ERJ-3RSFR12V,resistors\resistor,120m,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.1W, 1/10W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.12 OHM 1% 1/10W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±300ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,SR731ETTPR510F,resistors\resistor,510m,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,http://www.koaspeer.com/catimages/Products/SR73/SR73.pdf,RES 510M OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±200ppm/°C,-55°C ~ 150°C,,"KOA Speer Electronics, Inc.",,,
,ERJ-3RSFR18V,resistors\resistor,180m,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.1W, 1/10W",,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf,RES 0.18 OHM 1% 1/10W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,±300ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,SR731ETTP2R20F,resistors\resistor,2.2,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,http://www.koaspeer.com/catimages/Products/SR73/SR73.pdf,RES 2.2 OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±200ppm/°C,-55°C ~ 150°C,,"KOA Speer Electronics, Inc.",,,
,RL0816S-5R1-F,resistors\resistor,5.1,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.2W, 1/5W",,http://www.susumu.co.jp/common/pdf/n_catalog_partition08_en.pdf,RES SMD 5.1 OHM 1% 1/5W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,,-55°C ~ 125°C,,Susumu,,,
,SR731ETTP1R00F,resistors\resistor,1,±1%,,"R0402N,R0402L,R0402M",0402 (1005 Metric),,"0.167W, 1/6W",,http://www.koaspeer.com/catimages/Products/SR73/SR73.pdf,RES 1 OHM 1% 1/6W 0402,Surface Mount,0.039 L x 0.020 W (1.00mm x 0.50mm),2,±200ppm/°C,-55°C ~ 150°C,,"KOA Speer Electronics, Inc.",,,
,RL0816S-R20-F,resistors\resistor,200m,±1%,,"R0603N,R0603L,R0603M",0603 (1608 Metric),,"0.2W, 1/5W",,http://www.susumu.co.jp/common/pdf/n_catalog_partition08_en.pdf,RES 0.2 OHM 1% 1/5W 0603,Surface Mount,0.063 L x 0.031 W (1.60mm x 0.80mm),2,,-55°C ~ 125°C,,Susumu,,,
