"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"0.15uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532CH1H154J250KA/445-11909-1-ND/3953575,"","","","","","","","",CAP CER 0.15UF 50V CH 1812,"1812 (4532 Metric)","",Low ESL,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.600000","","",Active,TDK Corporation,C4532CH1H154J250KA,"1","Surface Mount, MLCC",-25°C ~ 85°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.60","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-11909-1-ND","","","","","","","","","","",,capacitors\capacitor,CH,"0.110 (2.80mm)",±5%,"","0.15uF","50V"
General Purpose,"0.033uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C1812C333KFRACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C1812C333KFRACTU/399-10478-1-ND/4172932,"","","","","","","","",CAP CER 0.033UF 1.5KV X7R 1812,"1812 (4532 Metric)","","Low ESL, High Voltage",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.580000","","",Active,KEMET,C1812C333KFRACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.59","",SMD Comm X7R HV,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"399-10478-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","0.033uF","1500V (1.5kV)"
General Purpose,"0.3uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532X7T2J304K250KA/445-13458-1-ND/3955124,"","","","","","","","",CAP CER 0.3UF 630V X7T 1812,"1812 (4532 Metric)","","",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.577000","","",Active,TDK Corporation,C4532X7T2J304K250KA,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.62","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-13458-1-ND","","","","","","","","","","",,capacitors\capacitor,X7T,"0.110 (2.80mm)",±10%,"","0.3uF","630V"
General Purpose,"10000pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C1812C103KGRACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C1812C103KGRACTU/399-10477-1-ND/4172931,"","","","","","","","",CAP CER 10000PF 2KV X7R 1812,"1812 (4532 Metric)","","Low ESL, High Voltage",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.557000","","",Active,KEMET,C1812C103KGRACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.62","",SMD Comm X7R HV,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"399-10477-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","10000pF","2000V (2kV)"
General Purpose,"2200pF",=Value,Datasheet,https://katalog.we-online.de/pbs/datasheet/885342211010.pdf,DigiKey Link,http://digikey.com/product-detail/en/w-rth-elektronik/885342211010/732-12141-1-ND/9346161,"","","","","","","","",CAP CER 2200PF 3000V X7R 1812,"1812 (4532 Metric)","","",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.543000","","",Active,Würth Elektronik,"885342211010","1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"1.20","",WCAP-CSMH,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"732-12141-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","2200pF","3000V (3kV)"
General Purpose,"0.1uF",=Value,Datasheet,https://www.yuden.co.jp/productdata/catalog/mlcc01_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/SMK432B7104KM-T/587-1405-1-ND/931182,"","","","","","","","",CAP CER 0.1UF 630V X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.540000","","",Active,Taiyo Yuden,SMK432B7104KM-T,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.31","",M,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"587-1405-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","0.1uF","630V"
General Purpose,"0.022uF",=Value,Datasheet,http://datasheets.avx.com/AVX-HV_MLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/1812AC223KAT3A/478-13083-1-ND/9948601,"","","","","","","","",CAP CER 0.022UF 1KV X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.537000","","",Active,AVX Corporation,"1812AC223KAT3A","1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.33","",-,"0.181 L x 0.126 W (4.60mm x 3.20mm)",DigiKey,"478-13083-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","0.022uF","1000V (1kV)"
General Purpose,"0.47uF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=QMK432B7474MM-T  &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/QMK432B7474MM-T/587-6178-1-ND/8884230,"","","","","","","","",CAP CER 0.47UF 250V X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.517000","","",Active,Taiyo Yuden,QMK432B7474MM-T,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.33","",M,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"587-6178-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±20%,"","0.47uF","250V"
General Purpose,"0.068uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532CH2A683J250KA/445-11920-1-ND/3953586,"","","","","","","","",CAP CER 0.068UF 100V CH 1812,"1812 (4532 Metric)","","",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.513000","","",Active,TDK Corporation,C4532CH2A683J250KA,"1","Surface Mount, MLCC",-25°C ~ 85°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.65","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-11920-1-ND","","","","","","","","","","",,capacitors\capacitor,CH,"0.110 (2.80mm)",±5%,"","0.068uF","100V"
Automotive,"330pF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_highvoltage_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/CGA8P1C0G3F331K250KA/445-13096-1-ND/3954762,"","","","","","","","",CAP CER 330PF 3KV C0G 1812,"1812 (4532 Metric)","","",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.500000","","",Active,TDK Corporation,CGA8P1C0G3F331K250KA,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.34",AEC-Q200,CGA,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-13096-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.110 (2.80mm)",±10%,"","330pF","3000V (3kV)"
"Automotive, Boardflex Sensitive","0.1uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_soft_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/CGA8N4X7R2J104K230KE/445-173836-1-ND/5809907,"","","","","","","","",CAP CER 0.1UF 630V X7R 1812,"1812 (4532 Metric)","",Soft Termination,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.480000","","",Active,TDK Corporation,CGA8N4X7R2J104K230KE,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.40",AEC-Q200,CGA,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-173836-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.102 (2.60mm)",±10%,"","0.1uF","630V"
General Purpose,"4700pF",=Value,Datasheet,https://www.johansondielectrics.com/downloads/catalog/johanson-dielectrics-product-catalog.pdf,DigiKey Link,http://digikey.com/product-detail/en/johanson-dielectrics-inc/202S43W472KV4E/709-1308-1-ND/2237065,"","","","","","","","",CAP CER 4700PF 2KV X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.477000","","",Active,Johanson Dielectrics Inc.,"202S43W472KV4E","1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.73","",-,"0.180 L x 0.125 W (4.57mm x 3.18mm)",DigiKey,"709-1308-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","4700pF","2000V (2kV)"
General Purpose,"22uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532X7R1E226M250KC/445-1607-1-ND/634402,"","","","","","","","",CAP CER 22UF 25V X7R 1812,"1812 (4532 Metric)","","",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.467000","","",Active,TDK Corporation,C4532X7R1E226M250KC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.42","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-1607-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±20%,"","22uF","25V"
General Purpose,"22uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532X5R1E226M250KA/445-1444-1-ND/569110,"","","","","","","","",CAP CER 22UF 25V X5R 1812,"1812 (4532 Metric)","",Low ESL,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.463000","","",Active,TDK Corporation,C4532X5R1E226M250KA,"1","Surface Mount, MLCC",-55°C ~ 85°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.43","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-1444-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.110 (2.80mm)",±20%,"","22uF","25V"
General Purpose,"1uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532X7T2E105M250KA/445-13454-1-ND/3955120,"","","","","","","","",CAP CER 1UF 250V X7T 1812,"1812 (4532 Metric)","","",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.453000","","",Active,TDK Corporation,C4532X7T2E105M250KA,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.48","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-13454-1-ND","","","","","","","","","","",,capacitors\capacitor,X7T,"0.110 (2.80mm)",±20%,"","1uF","250V"
General Purpose,"3900pF",=Value,Datasheet,http://datasheets.avx.com/AVX-HV_MLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/1812HC392KAT1A/478-5946-1-ND/2183492,"","","","","","","","",CAP CER 3900PF 3KV X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.450000","","",Active,AVX Corporation,"1812HC392KAT1A","1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.48","",-,"0.181 L x 0.126 W (4.60mm x 3.20mm)",DigiKey,"478-5946-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","3900pF","3000V (3kV)"
General Purpose,"10uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532X7R1E106M250KA/445-1445-1-ND/569111,"","","","","","","","",CAP CER 10UF 25V X7R 1812,"1812 (4532 Metric)","",Low ESL,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.440000","","",Active,TDK Corporation,C4532X7R1E106M250KA,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.49","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-1445-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±20%,"","10uF","25V"
General Purpose,"10uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532X7R1E106K250KA/445-3920-1-ND/1923427,"","","","","","","","",CAP CER 10UF 25V X7R 1812,"1812 (4532 Metric)","",Low ESL,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.420000","","",Active,TDK Corporation,C4532X7R1E106K250KA,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.49","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-3920-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","10uF","25V"
General Purpose,"6.8uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532X7R1H685K250KB/445-3919-1-ND/1923426,"","","","","","","","",CAP CER 6.8UF 50V X7R 1812,"1812 (4532 Metric)","","",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.410000","","",Active,TDK Corporation,C4532X7R1H685K250KB,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.50","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-3919-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","6.8uF","50V"
General Purpose,"1uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C4532X7T2E105K250KA/445-7769-1-ND/2733841,"","","","","","","","",CAP CER 1UF 250V X7T 1812,"1812 (4532 Metric)","","",,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.403000","","",Active,TDK Corporation,C4532X7T2E105K250KA,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.52","",C,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"445-7769-1-ND","","","","","","","","","","",,capacitors\capacitor,X7T,"0.110 (2.80mm)",±10%,"","1uF","250V"
General Purpose,"470pF",=Value,Datasheet,https://www.johansondielectrics.com/downloads/catalog/johanson-dielectrics-product-catalog.pdf,DigiKey Link,http://digikey.com/product-detail/en/johanson-dielectrics-inc/202S43W471KV4E/709-1052-1-ND/1556457,"","","","","","","","",CAP CER 470PF 2KV X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.393000","","",Active,Johanson Dielectrics Inc.,"202S43W471KV4E","1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.54","",-,"0.180 L x 0.125 W (4.57mm x 3.17mm)",DigiKey,"709-1052-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.80mm)",±10%,"","470pF","2000V (2kV)"
General Purpose,"1000pF",=Value,Datasheet,http://www.vishay.com/docs/45228/hvseries.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-vitramon/HV1812Y102KXVATHV/720-1549-1-ND/6137132,"","","","","","","","",CAP CER 1000PF 4KV X7R 1812,"1812 (4532 Metric)","",High Voltage,,,,"C1812N,C1812L,C1812M",,,"","2020-09-02 01:11:12.387000","","",Active,Vishay Vitramon,HV1812Y102KXVATHV,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1812 (4532 Metric)",TapeAndReel,Active,"0.54","",HV,"0.177 L x 0.126 W (4.50mm x 3.20mm)",DigiKey,"720-1549-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","1000pF","4000V (4kV)"
