"Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","ESR (Equivalent Series Resistance)","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lifecycle Status","Lifetime @ Temp","Manufacturer","Part Number","Manufacturer Size Code","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Rated"
"10uF",=Value,Datasheet,http://www.vishay.com/docs/40005/593d.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/593D106X9016B2TE3/718-1927-1-ND/3985778,"","","","","","","","",CAP TANT 10UF 10% 16V 1411,"1411 (3528 Metric)","800mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.11mm)","2020-09-02 01:15:45.217000","",Active,"",Vishay Sprague,"593D106X9016B2TE3",B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"231",Active,"0.11","","TANTAMOUNT®, 593D","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"718-1927-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"10uF","16V"
"10uF",=Value,Datasheet,http://datasheets.avx.com/F97.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F971C106MAAHT3/478-11276-1-ND/7567121,"","","","","","","","",CAP TANT 10UF 20% 16V 1206,"1206 (3216 Metric)","3.5Ohm @ 100kHz","","Automotive, High Reliability",footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.493000","",Active,"",AVX Corporation,F971C106MAAHT3,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"232",Active,"0.17",AEC-Q200,F97,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-11276-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"10uF","16V"
"1uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491B105K035AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491B105K035AT/399-3702-1-ND/819027,"","","","","","","","",CAP TANT 1UF 10% 35V 1411,"1411 (3528 Metric)","5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.213000","",Active,"2000 Hrs @ 125°C",KEMET,T491B105K035AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"233",Active,"0.12","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3702-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"1uF","35V"
"33uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491A336K006AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491A336K006AT/399-9716-1-ND/3724894,"","","","","","","","",CAP TANT 33UF 10% 6.3V 1206,"1206 (3216 Metric)","2.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.490000","",Active,"2000 Hrs @ 125°C",KEMET,T491A336K006AT,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"234",Active,"0.18","",T491,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"399-9716-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"33uF","6.3V"
"10uF",=Value,Datasheet,http://datasheets.avx.com/F93.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F931C106MBA/478-8238-1-ND/4005537,"","","","","","","","",CAP TANT 10UF 20% 16V 1411,"1411 (3528 Metric)","2Ohm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.091 (2.30mm)","2020-09-02 01:15:45.210000","",Active,"2000 Hrs @ 125°C",AVX Corporation,F931C106MBA,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"235",Active,"0.12","",F93,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-8238-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"10uF","16V"
"47uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491A476M004AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491A476M004AT/399-9947-1-ND/3728729,"","","","","","","","",CAP TANT 47UF 20% 4V 1206,"1206 (3216 Metric)","2.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.467000","",Active,"2000 Hrs @ 125°C",KEMET,T491A476M004AT,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"236",Active,"0.18","",T491,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"399-9947-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"47uF","4V"
"4.7uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491B475K016AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491B475K016AT/399-3722-1-ND/819047,"","","","","","","","",CAP TANT 4.7UF 10% 16V 1411,"1411 (3528 Metric)","3.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.207000","",Active,"2000 Hrs @ 125°C",KEMET,T491B475K016AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"237",Active,"0.12","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3722-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"4.7uF","16V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491B106M016AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491B106M016AT/399-3708-1-ND/819033,"","","","","","","","",CAP TANT 10UF 20% 16V 1411,"1411 (3528 Metric)","2.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.203000","",Active,"2000 Hrs @ 125°C",KEMET,T491B106M016AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"238",Active,"0.12","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3708-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"10uF","16V"
"22uF",=Value,Datasheet,http://datasheets.avx.com/TPS.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TPSA226M006R0900/478-9038-1-ND/4561904,"","","","","","","","",CAP TANT 22UF 20% 6.3V 1206,"1206 (3216 Metric)","900mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.463000","",Active,"",AVX Corporation,TPSA226M006R0900,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"239",Active,"0.18","",TPS,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-9038-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"22uF","6.3V"
"1uF",=Value,Datasheet,http://www.vishay.com/docs/40002/293d.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/293D105X9035B2TE3/718-1117-1-ND/1559611,"","","","","","","","",CAP TANT 1UF 10% 35V 1411,"1411 (3528 Metric)","5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.11mm)","2020-09-02 01:15:45.200000","",Active,"",Vishay Sprague,"293D105X9035B2TE3",B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"240",Active,"0.12","","TANTAMOUNT®, 293D","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"718-1117-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"1uF","35V"
"100uF",=Value,Datasheet,http://datasheets.avx.com/TLJ.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TLJA107M004R0500/478-3342-1-ND/930134,"","","","","","","","",CAP TANT 100UF 20% 4V 1206,"1206 (3216 Metric)","500mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.443000","",Active,"",AVX Corporation,TLJA107M004R0500,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"241",Active,"0.19","",TLJ,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-3342-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"100uF","4V"
"33uF",=Value,Datasheet,http://datasheets.avx.com/F93-AJ6.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F931A336MAAAJ6/478-11262-1-ND/7567107,"","","","","","","","",CAP TANT 33UF 20% 10V 1206,"1206 (3216 Metric)","2.5Ohm @ 100kHz","",Automotive,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.440000","",Active,"",AVX Corporation,F931A336MAAAJ6,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"242",Active,"0.19",AEC-Q200,F93-AJ6,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-11262-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"33uF","10V"
"22uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491B226K006AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491B226K006AT/399-3716-1-ND/819041,"","","","","","","","",CAP TANT 22UF 10% 6.3V 1411,"1411 (3528 Metric)","3.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.197000","",Active,"2000 Hrs @ 125°C",KEMET,T491B226K006AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"243",Active,"0.12","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3716-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"22uF","6.3V"
"100uF",=Value,Datasheet,http://datasheets.avx.com/F93.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F930G107KAA/478-8132-1-ND/4005594,"","","","","","","","",CAP TANT 100UF 10% 4V 1206,"1206 (3216 Metric)","2Ohm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.437000","",Active,"2000 Hrs @ 125°C",AVX Corporation,F930G107KAA,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"244",Active,"0.19","",F93,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-8132-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"100uF","4V"
"2.2uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491B225K020AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491B225K020AT/399-3714-1-ND/819039,"","","","","","","","",CAP TANT 2.2UF 10% 20V 1411,"1411 (3528 Metric)","3.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.193000","",Active,"2000 Hrs @ 125°C",KEMET,T491B225K020AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"245",Active,"0.12","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-3714-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"2.2uF","20V"
"47uF",=Value,Datasheet,http://www.vishay.com/docs/40002/293d.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-sprague/293D476X9010B2TE3/718-1153-1-ND/1559647,"","","","","","","","",CAP TANT 47UF 10% 10V 1411,"1411 (3528 Metric)","1.8Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.11mm)","2020-09-02 01:15:45.187000","",Active,"",Vishay Sprague,"293D476X9010B2TE3",B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"246",Active,"0.12","","TANTAMOUNT®, 293D","0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"718-1153-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"47uF","10V"
"4.7uF",=Value,Datasheet,http://datasheets.avx.com/F93.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F931E475MAA/478-8323-1-ND/4005974,"","","","","","","","",CAP TANT 4.7UF 20% 25V 1206,"1206 (3216 Metric)","4Ohm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.433000","",Active,"2000 Hrs @ 125°C",AVX Corporation,F931E475MAA,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"247",Active,"0.19","",F93,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-8323-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"4.7uF","25V"
"47uF",=Value,Datasheet,http://datasheets.avx.com/TAJ.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TAJB476K006RNJ/478-1692-1-ND/564724,"","","","","","","","",CAP TANT 47UF 10% 6.3V 1411,"","2Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.167000","",Active,"",AVX Corporation,TAJB476K006RNJ,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric), 1210",TapeAndReel,"248",Active,"0.12","",TAJ,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-1692-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"47uF","6.3V"
"1uF",=Value,Datasheet,http://datasheets.avx.com/F95.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F951V105MSAAQ2/478-8514-1-ND/4005781,"","","","","","","","",CAP TANT 1UF 20% 35V 1206,"1206 (3216 Metric)","8Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.063 (1.60mm)","2020-09-02 01:15:58.413000","",Active,"",AVX Corporation,F951V105MSAAQ2,S,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"249",Active,"0.19","","F95, Frameless™","0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-8514-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Conformal Coated,"1uF","35V"
"47uF",=Value,Datasheet,http://datasheets.avx.com/F93.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F931A476MBA/478-8226-1-ND/4005660,"","","","","","","","",CAP TANT 47UF 20% 10V 1411,"1411 (3528 Metric)","1Ohm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.091 (2.30mm)","2020-09-02 01:15:45.163000","",Active,"2000 Hrs @ 125°C",AVX Corporation,F931A476MBA,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"250",Active,"0.13","",F93,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-8226-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"47uF","10V"
"2.2uF",=Value,Datasheet,https://content.kemet.com/datasheets/KEM_T2054_T499_AUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T499A225K006ATE6K5/399-4988-1-ND/1211738,"","","","","","","","",CAP TANT 2.2UF 10% 6.3V 1206,"1206 (3216 Metric)","6.5Ohm","",Automotive,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.397000","",Active,"2000 Hrs @ 175°C",KEMET,T499A225K006ATE6K5,A,"1",Surface Mount,-55°C ~ 175°C,"1206 (3216 Metric)",TapeAndReel,"251",Active,"0.20",AEC-Q200,T499,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"399-4988-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"2.2uF","6.3V"
"10uF",=Value,Datasheet,http://datasheets.avx.com/TPS.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TPSB106K016R0800/478-2398-1-ND/678566,"","","","","","","","",CAP TANT 10UF 10% 16V 1411,"","800mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.160000","",Active,"",AVX Corporation,TPSB106K016R0800,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric), 1210",TapeAndReel,"252",Active,"0.14","",TPS,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-2398-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"10uF","16V"
"4.7uF",=Value,Datasheet,http://datasheets.avx.com/TAJ.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TAJB475K025RNJ/478-1690-1-ND/564722,"","","","","","","","",CAP TANT 4.7UF 10% 25V 1411,"","1.5Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.157000","",Active,"",AVX Corporation,TAJB475K025RNJ,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric), 1210",TapeAndReel,"253",Active,"0.14","",TAJ,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-1690-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"4.7uF","25V"
"4.7uF",=Value,Datasheet,https://content.kemet.com/datasheets/KEM_T2054_T499_AUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T499A475K006ATE6K0/399-4990-1-ND/1211740,"","","","","","","","",CAP TANT 4.7UF 10% 6.3V 1206,"1206 (3216 Metric)","6Ohm","",Automotive,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.377000","",Active,"2000 Hrs @ 175°C",KEMET,T499A475K006ATE6K0,A,"1",Surface Mount,-55°C ~ 175°C,"1206 (3216 Metric)",TapeAndReel,"254",Active,"0.20",AEC-Q200,T499,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"399-4990-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"4.7uF","6.3V"
"22uF",=Value,Datasheet,http://datasheets.avx.com/TPS.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TPSB226K016R0600/478-1758-1-ND/564790,"","","","","","","","",CAP TANT 22UF 10% 16V 1411,"","600mOhm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.150000","",Active,"",AVX Corporation,TPSB226K016R0600,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric), 1210",TapeAndReel,"255",Active,"0.14","",TPS,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-1758-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"22uF","16V"
"4.7uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T499A475K010ATE6K0.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T499A475K010ATE6K0/399-5009-1-ND/1211759,"","","","","","","","",CAP TANT 4.7UF 10% 10V 1206,"1206 (3216 Metric)","6Ohm","",Automotive,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.370000","",Active,"2000 Hrs @ 175°C",KEMET,T499A475K010ATE6K0,A,"1",Surface Mount,-55°C ~ 175°C,"1206 (3216 Metric)",TapeAndReel,"256",Active,"0.20",AEC-Q200,T499,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"399-5009-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"4.7uF","10V"
"100uF",=Value,Datasheet,http://datasheets.avx.com/F93.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F930J107MBA/478-8156-1-ND/4005661,"","","","","","","","",CAP TANT 100UF 20% 6.3V 1411,"1411 (3528 Metric)","900mOhm @ 100kHz","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.091 (2.30mm)","2020-09-02 01:15:45.147000","",Active,"2000 Hrs @ 125°C",AVX Corporation,F930J107MBA,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"257",Active,"0.14","",F93,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-8156-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"100uF","6.3V"
"0.68uF",=Value,Datasheet,http://datasheets.avx.com/TPS.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TPSA684K025R6000/478-2405-1-ND/678573,"","","","","","","","",CAP TANT 0.68UF 10% 25V 1206,"1206 (3216 Metric)","6Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.071 (1.80mm)","2020-09-02 01:15:58.350000","",Active,"",AVX Corporation,TPSA684K025R6000,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"258",Active,"0.20","",TPS,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-2405-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"0.68uF","25V"
"22uF",=Value,Datasheet,http://datasheets.avx.com/TAJ.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/TAJB226K020RNJ/478-1683-1-ND/564715,"","","","","","","","",CAP TANT 22UF 10% 20V 1411,"","1.8Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.143000","",Active,"",AVX Corporation,TAJB226K020RNJ,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric), 1210",TapeAndReel,"259",Active,"0.11","",TAJ,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"478-1683-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"22uF","20V"
"10uF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/T491B106K020AT.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/T491B106K020AT/399-8298-1-ND/3472021,"","","","","","","","",CAP TANT 10UF 10% 20V 1411,"1411 (3528 Metric)","2.1Ohm","",General Purpose,footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1411_3528.PCBLIB,"","",CAP POL 1411_3528,"","","0.083 (2.10mm)","2020-09-02 01:15:45.140000","",Active,"2000 Hrs @ 125°C",KEMET,T491B106K020AT,B,"1",Surface Mount,-55°C ~ 125°C,"1411 (3528 Metric)",TapeAndReel,"260",Active,"0.14","",T491,"0.138 L x 0.110 W (3.50mm x 2.80mm)",DigiKey,"399-8298-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±10%,Molded,"10uF","20V"
"0.33uF",=Value,Datasheet,http://datasheets.avx.com/F97.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/F971V334MAA/478-8623-1-ND/4005663,"","","","","","","","",CAP TANT 0.33UF 20% 35V 1206,"1206 (3216 Metric)","12Ohm","","Automotive, High Reliability",footprints/Capacitor - Tantalum/PCB - CAPACITOR - TANTALUM - CAP POL 1206_3216.PCBLIB,"","",CAP POL 1206_3216,"","","0.047 (1.20mm)","2020-09-02 01:15:58.347000","",Active,"",AVX Corporation,F971V334MAA,A,"1",Surface Mount,-55°C ~ 125°C,"1206 (3216 Metric)",TapeAndReel,"261",Active,"0.20",AEC-Q200,F97,"0.126 L x 0.063 W (3.20mm x 1.60mm)",DigiKey,"478-8623-1-ND","","","","","","","","","","",,capacitors\Capacitor_p,±20%,Molded,"0.33uF","35V"
