"Capacitance @ Vr, F","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Average Rectified (Io)","Current - Reverse Leakage @ Vr","Description","Device Package","Diode Type","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature - Junction","Package / Case","Packaging","PartId","Part Status","Price","Reverse Recovery Time (trr)","Series","Speed","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Voltage - DC Reverse (Vr) (Max)","Voltage - Forward (Vf) (Max) @ If"
"18pF @ 4V, 1MHz",=Part Number,Datasheet,http://www.vishay.com/docs/88587/es2.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/ES2A-E3-52T/ES2A-E3-52TGICT-ND/3025875,"","","","","","","","","2A","10µA @ 50V",DIODE GEN PURP 50V 2A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.083000",Active,Vishay Semiconductor Diodes Division,ES2A-E3/52T,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"187",Active,"0.21","30ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,ES2A-E3/52TGICT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","50V","900mV @ 2A"
"17pF @ 4V, 1MHz",=Part Number,Datasheet,http://www.vishay.com/docs/88708/rs2a.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/RS2J-E3-52T/RS2J-E3-52TGICT-ND/1091591,"","","","","","","","","1.5A","5µA @ 600V",DIODE GEN PURP 600V 1.5A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.077000",Active,Vishay Semiconductor Diodes Division,RS2J-E3/52T,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"188",Active,"0.19","250ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,RS2J-E3/52TGICT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","600V","1.3V @ 1.5A"
"17pF @ 4V, 1MHz",=Part Number,Datasheet,http://www.vishay.com/docs/88708/rs2a.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/RS2K-E3-52T/RS2K-E3-52TGICT-ND/3646219,"","","","","","","","","1.5A","5µA @ 800V",DIODE GEN PURP 800V 1.5A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.073000",Active,Vishay Semiconductor Diodes Division,RS2K-E3/52T,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"189",Active,"0.19","500ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,RS2K-E3/52TGICT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","800V","1.3V @ 1.5A"
"30pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds15004.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/RS2K-13-F/RS2K-FDICT-ND/815922,"","","","","","","","","1.5A","5µA @ 800V",DIODE GEN PURP 800V 1.5A SMB,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.070000",Active,Diodes Incorporated,RS2K-13-F,"1",Surface Mount,-65°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"190",Active,"0.20","500ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,RS2K-FDICT-ND,"","","","","","","","","","",SMB,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","800V","1.3V @ 1.5A"
"",=Part Number,Datasheet,http://www.vishay.com/docs/88688/murs140.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MURS140-E3-52T/MURS140-E3-52TGICT-ND/3025890,"","","","","","","","","2A","5µA @ 400V",DIODE GEN PURP 400V 2A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.053000",Active,Vishay Semiconductor Diodes Division,MURS140-E3/52T,"1",Surface Mount,-65°C ~ 175°C,"DO-214AA, SMB",TapeAndReel,"191",Active,"0.20","75ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,MURS140-E3/52TGICT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","400V","1.25V @ 1A"
"",=Part Number,Datasheet,http://www.onsemi.com/pub/Collateral/MURS360BT3-D.PDF,DigiKey Link,http://digikey.com/product-detail/en/on-semiconductor/SURS8360BT3G/SURS8360BT3GOSCT-ND/5969090,"","","","","","","","","3A (DC)","30µA @ 300V",DIODE GEN PURP 600V 3A SMB,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.043000",Active,ON Semiconductor,SURS8360BT3G,"1",Surface Mount,-65°C ~ 175°C,"DO-214AA, SMB",TapeAndReel,"192",Active,"0.24","75ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,SURS8360BT3GOSCT-ND,"","","","","","","","","","",SMB,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","600V","1.25V @ 3A"
"41pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.taiwansemi.com/products/datasheet/ES3AB%20SERIES_B1706.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/ES3GB-R5G/ES3GBR5GCT-ND/7357552,"","","","","","","","","3A","10µA @ 400V",DIODE GEN PURP 400V 3A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.037000",Active,Taiwan Semiconductor Corporation,ES3GB R5G,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"193",Active,"0.23","35ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,ES3GBR5GCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","400V","1.13V @ 3A"
"34pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.taiwansemi.com/products/datasheet/ES3AB%20SERIES_B1706.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/ES3JBHR5G/ES3JBHR5GCT-ND/7644316,"","","","","","","","","3A","10µA @ 600V",DIODE GEN PURP 600V 3A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.017000",Active,Taiwan Semiconductor Corporation,ES3JBHR5G,"1",Surface Mount,-55°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"194",Active,"0.25","35ns","Automotive, AEC-Q101","Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,ES3JBHR5GCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","600V","1.45V @ 3A"
"40pF @ 4V, 1MHz",=Part Number,Datasheet,https://www.taiwansemi.com/products/datasheet/MUR305SB%20SERIES_B1702.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/MUR340SB-R5G/MUR340SBR5GCT-ND/7357869,"","","","","","","","","3A","10µA @ 400V",DIODE GEN PURP 400V 3A DO214AA,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.013000",Active,Taiwan Semiconductor Corporation,MUR340SB R5G,"1",Surface Mount,-55°C ~ 175°C,"DO-214AA, SMB",TapeAndReel,"195",Active,"0.26","50ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,MUR340SBR5GCT-ND,"","","","","","","","","","",DO-214AA (SMB),symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","400V","1.25V @ 3A"
"50pF @ 4V, 1MHz",=Part Number,Datasheet,http://www.smc-diodes.com/propdf/FR2A-FR2K%20N0439%20REV.A.pdf,DigiKey Link,http://digikey.com/product-detail/en/smc-diode-solutions/FR2KTR/1655-1430-1-ND/6022875,"","","","","","","","","2A","5µA @ 800V",DIODE GEN PURP 800V 2A SMB,"",Standard,footprints/Diodes/PCB - DIODES - DO214AA SMB.PCBLIB,"","",DO214AA SMB,"","","2020-09-02 01:18:52.010000",Active,SMC Diode Solutions,FR2KTR,"1",Surface Mount,-50°C ~ 150°C,"DO-214AA, SMB",TapeAndReel,"196",Active,"0.06","500ns",-,"Fast Recovery =< 500ns, > 200mA (Io)",DigiKey,"1655-1430-1-ND","","","","","","","","","","",SMB,symbols/Diodes/SCH - DIODES - DIODE.SCHLIB,DIODE,"","","800V","1.3V @ 2A"
