"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Reverse Leakage @ Vr","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Impedance (Max) (Zzt)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Power - Max","Price","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Tolerance","Type","Value","Voltage - Forward (Vf) (Max) @ If","Voltage - Zener (Nom) (Vz)"
=Part Number,Datasheet,http://www.vishay.com/docs/85774/mmsz5225.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MMSZ5248B-E3-08/MMSZ5248B-E3-08CT-ND/3104486,"","","","","","","","","100nA @ 14V",DIODE ZENER 18V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","21 Ohms","2020-09-02 01:19:26.003000",Active,Vishay Semiconductor Diodes Division,MMSZ5248B-E3-08,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2009",Active,"500mW","0.05",-,DigiKey,MMSZ5248B-E3-08CT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","","18V"
=Part Number,Datasheet,http://www.vishay.com/docs/85774/mmsz5225.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MMSZ5231B-E3-08/MMSZ5231B-E3-08CT-ND/3104483,"","","","","","","","","5µA @ 2V",DIODE ZENER 5.1V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","17 Ohms","2020-09-02 01:19:26",Active,Vishay Semiconductor Diodes Division,MMSZ5231B-E3-08,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2010",Active,"500mW","0.05",-,DigiKey,MMSZ5231B-E3-08CT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","","5.1V"
=Part Number,Datasheet,http://www.vishay.com/docs/85760/bzt52.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/BZT52C5V6-E3-08/BZT52C5V6-E3-08GICT-ND/6228474,"","","","","","","","","100nA @ 1V",DIODE ZENER 5.6V 410MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","10 Ohms","2020-09-02 01:19:25.997000",Active,Vishay Semiconductor Diodes Division,BZT52C5V6-E3-08,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2011",Active,"410mW","0.05",-,DigiKey,BZT52C5V6-E3-08GICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","","5.6V"
=Part Number,Datasheet,http://www.vishay.com/docs/85773/mmsz4681.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MMSZ4687-E3-08/MMSZ4687-E3-08GICT-ND/8565113,"","","","","","","","","4µA @ 2V",DIODE ZENER 4.3V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.993000",Active,Vishay Semiconductor Diodes Division,MMSZ4687-E3-08,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2012",Active,"500mW","0.05","Automotive, AEC-Q101",DigiKey,MMSZ4687-E3-08GICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","","4.3V"
=Part Number,Datasheet,http://www.vishay.com/docs/85774/mmsz5225.pdf,DigiKey Link,http://digikey.com/product-detail/en/vishay-semiconductor-diodes-division/MMSZ5226B-E3-08/MMSZ5226B-E3-08GICT-ND/8565136,"","","","","","","","","25µA @ 1V",DIODE ZENER 3.3V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","28 Ohms","2020-09-02 01:19:25.987000",Active,Vishay Semiconductor Diodes Division,MMSZ5226B-E3-08,"1",Surface Mount,-55°C ~ 150°C,SOD-123,TapeAndReel,"2013",Active,"500mW","0.05","Automotive, AEC-Q101",DigiKey,MMSZ5226B-E3-08GICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","","3.3V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9699-7/DDZ9699DICT-ND/700182,"","","","","","","","","50nA @ 9.1V",DIODE ZENER 12V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.983000",Active,Diodes Incorporated,DDZ9699-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2014",Active,"500mW","0.05",-,DigiKey,DDZ9699DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","12V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9705-7/DDZ9705DICT-ND/700184,"","","","","","","","","50nA @ 13.6V",DIODE ZENER 18V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.980000",Active,Diodes Incorporated,DDZ9705-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2015",Active,"500mW","0.05",-,DigiKey,DDZ9705DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","18V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9692-7/DDZ9692DICT-ND/700177,"","","","","","","","","100nA @ 5.1V",DIODE ZENER 6.8V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.973000",Active,Diodes Incorporated,DDZ9692-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2016",Active,"500mW","0.05",-,DigiKey,DDZ9692DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","6.8V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9697-7/DDZ9697DICT-ND/700181,"","","","","","","","","100nA @ 7.6V",DIODE ZENER 10V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.970000",Active,Diodes Incorporated,DDZ9697-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2017",Active,"500mW","0.05",-,DigiKey,DDZ9697DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","10V"
=Part Number,Datasheet,https://www.diodes.com/assets/Datasheets/ds30410.pdf,DigiKey Link,http://digikey.com/product-detail/en/diodes-incorporated/DDZ9696-7/DDZ9696DICT-ND/700180,"","","","","","","","","100nA @ 6.9V",DIODE ZENER 9.1V 500MW SOD123,"",footprints/Diodes/PCB - DIODES - SOD-123.PCBLIB,"","",SOD-123,"","","","2020-09-02 01:19:25.967000",Active,Diodes Incorporated,DDZ9696-7,"1",Surface Mount,-65°C ~ 150°C,SOD-123,TapeAndReel,"2018",Active,"500mW","0.05",-,DigiKey,DDZ9696DICT-ND,"","","","","","","","","","",SOD-123,symbols/Diodes/SCH - DIODES - DIODE ZENER.SCHLIB,DIODE ZENER,±5%,"","","900mV @ 10mA","9.1V"
