"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
"RF, Microwave, High Frequency","5.8pF",=Value,Datasheet,https://psearch.en.murata.com/capacitor/product/GJM0335C1E5R8CB01%23.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1E5R8CB01D/490-17258-1-ND/7602257,"","","","","","","","",CAP CER 5.8PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.747000","","",Active,Murata Electronics,GJM0335C1E5R8CB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"127",Active,"0.01","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17258-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.25pF,"","5.8pF","25V"
"RF, Microwave, High Frequency","9pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1E9R0CB01-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GJM0335C1E9R0CB01D/490-17290-1-ND/7602289,"","","","","","","","",CAP CER 9PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.650000","","",Active,Murata Electronics,GJM0335C1E9R0CB01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"128",Active,"0.01","",GJM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-17290-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.25pF,"","9pF","25V"
General Purpose,"2200pF",=Value,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R71E222KA12-01.pdf,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM033R71E222KA12J/490-16746-1-ND/7595654,"","","","","","","","",CAP CER 2200PF 25V X7R 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.557000","","",Active,Murata Electronics,GRM033R71E222KA12J,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"129",Active,"0.10","",GRM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-16746-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.013 (0.33mm)",±10%,"","2200pF","25V"
General Purpose,"3300pF",=Value,Datasheet,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM033R71A332KA01D/490-6145-1-ND/3845345,"","","","","","","","",CAP CER 3300PF 10V X7R 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.463000","","",Active,Murata Electronics,GRM033R71A332KA01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",CutTape,"130",Active,"0.10","",GRM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-6145-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.013 (0.33mm)",±10%,"","3300pF","10V"
General Purpose,"5.6pF",=Value,Datasheet,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,DigiKey Link,http://digikey.com/product-detail/en/murata-electronics/GRM0335C2A5R6DA01D/490-7251-1-ND/4213306,"","","","","","","","",CAP CER 5.6PF 100V C0G/NP0 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.377000","","",Active,Murata Electronics,GRM0335C2A5R6DA01D,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"131",Active,"0.01","",GRM,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"490-7251-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.5pF,"","5.6pF","100V"
"RF, Microwave, High Frequency","13pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR02C130J3GAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR02C130J3GAC/399-6149-1-ND/2732122,"","","","","","","","",CAP CER 13PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.280000","","",Active,KEMET,CBR02C130J3GAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"132",Active,"0.04","",CBR-SMD RF C0G,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"399-6149-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±5%,"","13pF","25V"
"RF, Microwave, High Frequency","6pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR02C609B3GAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR02C609B3GAC/399-8573-1-ND/3479339,"","","","","","","","",CAP CER 6PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.183000","","",Active,KEMET,CBR02C609B3GAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"133",Active,"0.04","",CBR-SMD RF C0G,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"399-8573-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.1pF,"","6pF","25V"
"RF, Microwave, High Frequency","9pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR02C909B3GAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR02C909B3GAC/399-8575-1-ND/3479367,"","","","","","","","",CAP CER 9PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:08.087000","","",Active,KEMET,CBR02C909B3GAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"134",Active,"0.04","",CBR-SMD RF C0G,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"399-8575-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.1pF,"","9pF","25V"
"RF, Microwave, High Frequency","8.2pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/CBR02C829B3GAC.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/CBR02C829B3GAC/399-8565-1-ND/3479343,"","","","","","","","",CAP CER 8.2PF 25V C0G/NP0 0201,"0201 (0603 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:07.987000","","",Active,KEMET,CBR02C829B3GAC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0201 (0603 Metric)",TapeAndReel,"135",Active,"0.04","",CBR-SMD RF C0G,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"399-8565-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.013 (0.33mm)",±0.1pF,"","8.2pF","25V"
SMPS Filtering,"1uF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=LMK063BBJ105MPLF &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/LMK063BBJ105MPLF/587-6263-1-ND/9859889,"","","","","","","","",CAP CER 1UF 10V X5R 0201,"0201 (0603 Metric)","","",,,,"C0201N,C0201L,C0201M",,,"","2020-09-02 01:00:07.880000","","",Active,Taiyo Yuden,LMK063BBJ105MPLF,"1","Surface Mount, MLCC",-55°C ~ 85°C,"0201 (0603 Metric)",TapeAndReel,"136",Active,"0.04","",M,"0.024 L x 0.012 W (0.60mm x 0.30mm)",DigiKey,"587-6263-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.015 (0.39mm)",±20%,"","1uF","10V"
