"CCT (K)","Color","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","CRI (Color Rendering Index)","Current - Max","Current - Test","Description","Device Package","Flux @ 25°C, Current - Test","Flux @ 85°C, Current - Test","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Lumens/Watt @ Current - Test","Manufacturer","Part Number","Minimum Order","Mounting Type","Package / Case","Packaging","PartId","Part Status","Price","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Type","Value","Viewing Angle","Voltage - Forward (Vf) (Typ)"
"4000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0BH640E/JE2835AWT-00-0000-000A0BH640ECT-ND/9974549,"","","","","","","","","70","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","79lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.397000",Active,"176 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0BH640E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"50","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0BH640ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3500K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0BG935E/JE2835AWT-00-0000-000A0BG935ECT-ND/9974548,"","","","","","","","","70","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","76lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.400000",Active,"169 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0BG935E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"51","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0BG935ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3000K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0BG930E/JE2835AWT-00-0000-000A0BG930ECT-ND/9974547,"","","","","","","","","70","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","74lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.403000",Active,"164 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0BG930E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"52","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0BG930ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"2700K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0BG827E/JE2835AWT-00-0000-000A0BG827ECT-ND/9974546,"","","","","","","","","70","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","72lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.407000",Active,"160 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0BG827E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"53","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0BG827ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3500K","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-00-0000-000A0HG835E/JE2835AWT-00-0000-000A0HG835ECT-ND/9974553,"","","","","","","","","80","240mA","150mA",CREE J SERIES JE2835 LIGHT EMITT,"1113 (2835 Metric)","72lm (Typ)","",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.410000",Active,"160 lm/W",Cree Inc.,JE2835AWT-00-0000-000A0HG835E,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"54","1113 (2835 Metric)","0.02",J,"",DigiKey,JE2835AWT-00-0000-000A0HG835ECT-ND,"","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835BWT-P-H30GA0000-N0000001/2138-JE2835BWT-P-H30GA0000-N0000001CT-ND/10820134,"","","","","","","","","80","240mA","150mA",LED WHITE  3000K JE2835B 3V,"1113 (2835 Metric)","72lm (Typ)","55lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.413000",Active,"160 lm/W",Cree Inc.,JE2835BWT-P-H30GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"55","1113 (2835 Metric)","0.02",J,"",DigiKey,"2138-JE2835BWT-P-H30GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3500K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835BWT-P-H35GA0000-N0000001/2138-JE2835BWT-P-H35GA0000-N0000001CT-ND/10820204,"","","","","","","","","80","240mA","150mA",LED WHITE  3500K JE2835B 3V,"1113 (2835 Metric)","74lm (Typ)","67lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.417000",Active,"164 lm/W",Cree Inc.,JE2835BWT-P-H35GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"56","1113 (2835 Metric)","0.02",J,"",DigiKey,"2138-JE2835BWT-P-H35GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"3000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-R-U30GA0000-N0000001/2138-JE2835AWT-R-U30GA0000-N0000001CT-ND/10820445,"","","","","","","","","90","240mA","150mA",LED WHITE  3000K JE2835 3V,"1113 (2835 Metric)","57lm (Typ)","49lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.420000",Active,"129 lm/W",Cree Inc.,JE2835AWT-R-U30GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"57","1113 (2835 Metric)","0.02",J,"",DigiKey,"2138-JE2835AWT-R-U30GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"4000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-R-U40GA0000-N0000001/2138-JE2835AWT-R-U40GA0000-N0000001CT-ND/10820356,"","","","","","","","","90","240mA","150mA",LED WHITE  4000K JE2835 3V,"1113 (2835 Metric)","62lm (Typ)","53lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.440000",Active,"140 lm/W",Cree Inc.,JE2835AWT-R-U40GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"58","1113 (2835 Metric)","0.02",J,"",DigiKey,"2138-JE2835AWT-R-U40GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"3500K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-R-U35GA0000-N0000001/2138-JE2835AWT-R-U35GA0000-N0000001CT-ND/10820261,"","","","","","","","","90","240mA","150mA",LED WHITE  3500K JE2835 3V,"1113 (2835 Metric)","59lm (Typ)","50lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.443000",Active,"133 lm/W",Cree Inc.,JE2835AWT-R-U35GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"59","1113 (2835 Metric)","0.02",J,"",DigiKey,"2138-JE2835AWT-R-U35GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"3000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-R-H30GA0000-N0000001/2138-JE2835AWT-R-H30GA0000-N0000001CT-ND/10820199,"","","","","","","","","80","240mA","150mA",LED WHITE  3000K JE2835 3V,"1113 (2835 Metric)","70lm (Typ)","60lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.450000",Active,"158 lm/W",Cree Inc.,JE2835AWT-R-H30GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"60","1113 (2835 Metric)","0.01",J,"",DigiKey,"2138-JE2835AWT-R-H30GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"3500K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-R-H35GA0000-N0000001/2138-JE2835AWT-R-H35GA0000-N0000001CT-ND/10820186,"","","","","","","","","80","240mA","150mA",LED WHITE  3500K JE2835 3V,"1113 (2835 Metric)","72lm (Typ)","62lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.453000",Active,"163 lm/W",Cree Inc.,JE2835AWT-R-H35GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"61","1113 (2835 Metric)","0.01",J,"",DigiKey,"2138-JE2835AWT-R-H35GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"4000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835AWT-R-H40GA0000-N0000001/2138-JE2835AWT-R-H40GA0000-N0000001CT-ND/10820132,"","","","","","","","","80","240mA","150mA",LED WHITE  4000K JE2835 3V,"1113 (2835 Metric)","72lm (Typ)","62lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.457000",Active,"163 lm/W",Cree Inc.,JE2835AWT-R-H40GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"62","1113 (2835 Metric)","0.01",J,"",DigiKey,"2138-JE2835AWT-R-H40GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"4000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JE2835BWT-P-H40GA0000-N0000001/2138-JE2835BWT-P-H40GA0000-N0000001CT-ND/10820169,"","","","","","","","","80","240mA","150mA",LED WHITE  4000K JE2835B 3V,"1113 (2835 Metric)","76lm (Typ)","68lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.460000",Active,"169 lm/W",Cree Inc.,JE2835BWT-P-H40GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"63","1113 (2835 Metric)","0.02",J,"",DigiKey,"2138-JE2835BWT-P-H40GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3V"
"4000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JK2835BWT-W-H40EC0000-N0000001/2138-JK2835BWT-W-H40EC0000-N0000001CT-ND/10820414,"","","","","","","","","80","120mA","100mA",LED WHITE  4000K JK2835B 9V,"1113 (2835 Metric)","131lm (Typ)","114lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.463000",Active,"142 lm/W",Cree Inc.,JK2835BWT-W-H40EC0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"64","1113 (2835 Metric)","0.02",J,"",DigiKey,"2138-JK2835BWT-W-H40EC0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","9.2V"
"4000K 3-Step MacAdam Ellipse","",=Part Number,Datasheet,https://www.cree.com/led-components/media/documents/data-sheet-JSeries-2835-3v.pdf,DigiKey Link,http://digikey.com/product-detail/en/cree-inc/JB2835AWT-W-U40GA0000-N0000001/2138-JB2835AWT-W-U40GA0000-N0000001CT-ND/10820479,"","","","","","","","","90","150mA","60mA",LED WHITE  4000K JB2835 3V,"1113 (2835 Metric)","26lm (Typ)","23lm (Typ)",footprints/LED/PCB - LED - CREE J 2835.PcbLib,"","",CREE J 2835,"","","","2020-09-02 01:30:24.483000",Active,"147 lm/W",Cree Inc.,JB2835AWT-W-U40GA0000-N0000001,"1",Surface Mount,"1113 (2835 Metric)",TapeAndReel,"65","1113 (2835 Metric)","0.01",J,"",DigiKey,"2138-JB2835AWT-W-U40GA0000-N0000001CT-ND","","","","","","","","","","",SMD,symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","2.95V"
"5000K 3-Step MacAdam Ellipse","White, Cool",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,DigiKey Link,http://digikey.com/product-detail/en/seoul-semiconductor-inc/S1S0-3030509503-0000003S-00001/897-1357-1-ND/9686880,"","","","","","","","","95","150mA","65mA",LED COOL WHITE 5000K 3030,"1212 (3030 Metric)","","",footprints/Diodes/PCB - DIODES - SEOUL SEMICONDUCTOR 3030.PcbLib,"","",SEOUL SEMICONDUCTOR 3030,"","","0.031 (0.80mm)","2020-09-02 01:30:28.897000",Active,"",Seoul Semiconductor Inc.,S1S0-3030509503-0000003S-00001,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"66",Active,"0.22",SunLike 3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"897-1357-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3.05V"
"3500K 3-Step MacAdam Ellipse","White, Warm",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,DigiKey Link,http://digikey.com/product-detail/en/seoul-semiconductor-inc/S1S0-3030359503-0000003S-00001/897-1355-1-ND/9686878,"","","","","","","","","95","150mA","65mA",LED WARM WHITE 3500K 3030,"1212 (3030 Metric)","","",footprints/Diodes/PCB - DIODES - SEOUL SEMICONDUCTOR 3030.PcbLib,"","",SEOUL SEMICONDUCTOR 3030,"","","0.031 (0.80mm)","2020-09-02 01:30:28.920000",Active,"",Seoul Semiconductor Inc.,S1S0-3030359503-0000003S-00001,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"67",Active,"0.22",SunLike 3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"897-1355-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3.05V"
"4000K 3-Step MacAdam Ellipse","White, Neutral",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,DigiKey Link,http://digikey.com/product-detail/en/seoul-semiconductor-inc/S1S0-3030409503-0000003S-00001/897-1356-1-ND/9686879,"","","","","","","","","95","150mA","65mA",LED NEUTRAL WHITE 4000K 3030,"1212 (3030 Metric)","","",footprints/Diodes/PCB - DIODES - SEOUL SEMICONDUCTOR 3030.PcbLib,"","",SEOUL SEMICONDUCTOR 3030,"","","0.031 (0.80mm)","2020-09-02 01:30:28.923000",Active,"",Seoul Semiconductor Inc.,S1S0-3030409503-0000003S-00001,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"68",Active,"0.22",SunLike 3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"897-1356-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3.05V"
"2700K 3-Step MacAdam Ellipse","White, Warm",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,DigiKey Link,http://digikey.com/product-detail/en/seoul-semiconductor-inc/S1S0-3030279503-0000003S-00001/897-1353-1-ND/9686876,"","","","","","","","","95","150mA","65mA",LED WARM WHITE 2700K 3030,"1212 (3030 Metric)","","",footprints/Diodes/PCB - DIODES - SEOUL SEMICONDUCTOR 3030.PcbLib,"","",SEOUL SEMICONDUCTOR 3030,"","","0.031 (0.80mm)","2020-09-02 01:30:28.943000",Active,"",Seoul Semiconductor Inc.,S1S0-3030279503-0000003S-00001,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"69",Active,"0.22",SunLike 3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"897-1353-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3.05V"
"3000K 3-Step MacAdam Ellipse","White, Warm",=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Seoul%20Semiconductor/S1S0-3030xx9503-00000000-00001_Rev0%203_11-22-18.pdf,DigiKey Link,http://digikey.com/product-detail/en/seoul-semiconductor-inc/S1S0-3030309503-0000003S-00001/897-1354-1-ND/9686877,"","","","","","","","","95","150mA","65mA",LED WARM WHITE 3000K 3030,"1212 (3030 Metric)","","",footprints/Diodes/PCB - DIODES - SEOUL SEMICONDUCTOR 3030.PcbLib,"","",SEOUL SEMICONDUCTOR 3030,"","","0.031 (0.80mm)","2020-09-02 01:30:28.947000",Active,"",Seoul Semiconductor Inc.,S1S0-3030309503-0000003S-00001,"1",Surface Mount,"1212 (3030 Metric)",TapeAndReel,"70",Active,"0.22",SunLike 3030,"0.118 L x 0.118 W (3.00mm x 3.00mm)",DigiKey,"897-1354-1-ND","","","","","","","","","","","3030",symbols/Diodes/SCH - DIODES - LED.SCHLIB,LED,"","","120°","3.05V"
