"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"10uF",=Value,Datasheet,http://www.samsungsem.com/kr/support/product-search/mlcc/CL32B106KAJNNNE.jsp,DigiKey Link,http://digikey.com/product-detail/en/samsung-electro-mechanics/CL32B106KAJNNNE/1276-1807-1-ND/3889893,"","","","","","","","",CAP CER 10UF 25V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.727000","","",Active,Samsung Electro-Mechanics,CL32B106KAJNNNE,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23630",Active,"0.09","",CL,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"1276-1807-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","10uF","25V"
General Purpose,"22uF",=Value,Datasheet,http://www.samsungsem.com/kr/support/product-search/mlcc/CL32A226MOJNNNE.jsp,DigiKey Link,http://digikey.com/product-detail/en/samsung-electro-mechanics/CL32A226MOJNNNE/1276-1851-1-ND/3889937,"","","","","","","","",CAP CER 22UF 16V X5R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.723000","","",Active,Samsung Electro-Mechanics,CL32A226MOJNNNE,"1","Surface Mount, MLCC",-55°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23631",Active,"0.12","",CL,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"1276-1851-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.106 (2.70mm)",±20%,"","22uF","16V"
General Purpose,"2.2uF",=Value,Datasheet,http://www.samsungsem.com/kr/support/product-search/mlcc/CL32B225KBJNNNE.jsp,DigiKey Link,http://digikey.com/product-detail/en/samsung-electro-mechanics/CL32B225KBJNNNE/1276-2884-1-ND/3890970,"","","","","","","","",CAP CER 2.2UF 50V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.720000","","",Active,Samsung Electro-Mechanics,CL32B225KBJNNNE,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23632",Active,"0.14","",CL,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"1276-2884-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","2.2uF","50V"
SMPS Filtering,"4.7uF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=UMK325B7475KM-P &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/UMK325B7475KM-P/587-6380-1-ND/9949966,"","","","","","","","",CAP CER 4.7UF 50V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.700000","","",Active,Taiyo Yuden,UMK325B7475KM-P,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23633",Active,"0.15","",M,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"587-6380-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","4.7uF","50V"
"Automotive, SMPS Filtering","2.2uF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=HMK325B7225KM-P &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/HMK325B7225KM-P/587-5395-1-ND/7066257,"","","","","","","","",CAP CER 2.2UF 100V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.697000","","",Active,Taiyo Yuden,HMK325B7225KM-P,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23634",Active,"0.15",AEC-Q200,M,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"587-5395-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R (2R1),"0.106 (2.70mm)",±10%,"","2.2uF","100V"
"Automotive, SMPS Filtering","4.7uF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=UMK325B7475KMHP &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/UMK325B7475KMHP/587-6032-1-ND/8040695,"","","","","","","","",CAP CER 4.7UF 50V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.673000","","",Active,Taiyo Yuden,UMK325B7475KMHP,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23635",Active,"0.16",AEC-Q200,M,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"587-6032-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","4.7uF","50V"
General Purpose,"4.7uF",=Value,Datasheet,https://www.yuden.co.jp/productdata/catalog/mlcc01_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/UMK325B7475KM-T/587-2673-1-ND/2417260,"","","","","","","","",CAP CER 4.7UF 50V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.670000","","",Active,Taiyo Yuden,UMK325B7475KM-T,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23636",Active,"0.16","",M,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"587-2673-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.106 (2.70mm)",±10%,"","4.7uF","50V"
General Purpose,"10uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C3225X5R1E106M250AA/445-3947-1-ND/1944444,"","","","","","","","",CAP CER 10UF 25V X5R 1210,"1210 (3225 Metric)","",Low ESL,,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.667000","","",Active,TDK Corporation,C3225X5R1E106M250AA,"1","Surface Mount, MLCC",-55°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23637",Active,"0.17","",C,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"445-3947-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.110 (2.80mm)",±20%,"","10uF","25V"
General Purpose,"10uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C3225JB1E106K250AA/445-11850-1-ND/3953516,"","","","","","","","",CAP CER 10UF 25V JB 1210,"1210 (3225 Metric)","",Low ESL,,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.663000","","",Active,TDK Corporation,C3225JB1E106K250AA,"1","Surface Mount, MLCC",-25°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23638",Active,"0.17","",C,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"445-11850-1-ND","","","","","","","","","","",,capacitors\capacitor,JB,"0.110 (2.80mm)",±10%,"","10uF","25V"
General Purpose,"22uF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=EMK325BJ226KM-T  &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/EMK325BJ226KM-T/587-2713-1-ND/2417300,"","","","","","","","",CAP CER 22UF 16V X5R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.650000","","",Active,Taiyo Yuden,EMK325BJ226KM-T,"1","Surface Mount, MLCC",-55°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23639",Active,"0.17","",M,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"587-2713-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.106 (2.70mm)",±10%,"","22uF","16V"
General Purpose,"22uF",=Value,Datasheet,https://www.yuden.co.jp/productdata/catalog/mlcc01_e.pdf,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/JMK325BJ226MM-T/587-1384-1-ND/931161,"","","","","","","","",CAP CER 22UF 6.3V X5R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.647000","","",Active,Taiyo Yuden,JMK325BJ226MM-T,"1","Surface Mount, MLCC",-55°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23640",Active,"0.17","",M,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"587-1384-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.106 (2.70mm)",±20%,"","22uF","6.3V"
General Purpose,"100uF",=Value,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=JMK325ABJ107MM-P  &u=M,DigiKey Link,http://digikey.com/product-detail/en/taiyo-yuden/JMK325ABJ107MM-P/587-4313-1-ND/5361257,"","","","","","","","",CAP CER 100UF 6.3V X5R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.643000","","",Active,Taiyo Yuden,JMK325ABJ107MM-P,"1","Surface Mount, MLCC",-55°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23641",Active,"0.18","",M,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"587-4313-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.110 (2.80mm)",±20%,"","100uF","6.3V"
General Purpose,"4.7uF",=Value,Datasheet,http://datasheets.avx.com/cx5r.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/12103D475MAT2A/478-5335-1-ND/1951002,"","","","","","","","",CAP CER 4.7UF 25V X5R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.640000","","",Active,AVX Corporation,"12103D475MAT2A","1","Surface Mount, MLCC",-55°C ~ 85°C,"1210 (3225 Metric)",TapeAndReel,"23642",Active,"0.24","",-,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"478-5335-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.110 (2.79mm)",±20%,"","4.7uF","25V"
Automotive,"10uF",=Value,Datasheet,http://datasheets.avx.com/AutoMLCC.pdf,DigiKey Link,http://digikey.com/product-detail/en/avx-corporation/12103C106K4T4A/478-13077-1-ND/9948595,"","","","","","","","",CAP CER 10UF 25V X7R 1210,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.637000","","",Active,AVX Corporation,"12103C106K4T4A","1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23643",Active,"0.29",AEC-Q200,-,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"478-13077-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.110 (2.79mm)",±10%,"","10uF","25V"
"Automotive, Boardflex Sensitive","4.7uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_soft_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/CGA6P3X8R1E475K250AE/445-173765-1-ND/5809836,"","","","","","","","",CAP CER 4.7UF 25V X8R 1210,"1210 (3225 Metric)","",Soft Termination,,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.633000","","",Active,TDK Corporation,CGA6P3X8R1E475K250AE,"1","Surface Mount, MLCC",-55°C ~ 150°C,"1210 (3225 Metric)",TapeAndReel,"23644",Active,"0.93",AEC-Q200,CGA,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"445-173765-1-ND","","","","","","","","","","",,capacitors\capacitor,X8R,"0.110 (2.80mm)",±10%,"","4.7uF","25V"
General Purpose,"47uF",=Value,Datasheet,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey,DigiKey Link,http://digikey.com/product-detail/en/tdk-corporation/C3225X7S1A476M250AC/445-C3225X7S1A476M250ACCT-ND/10415036,"","","","","","","","",COMMERCIAL GRADE GENERAL PURPOSE,"1210 (3225 Metric)","","",,,,"C1210N,C1210L,C1210M",,,"","2020-09-02 01:10:52.613000","","",Active,TDK Corporation,C3225X7S1A476M250AC,"1","Surface Mount, MLCC",-55°C ~ 125°C,"1210 (3225 Metric)",TapeAndReel,"23645",Active,"1.08","",C,"0.126 L x 0.098 W (3.20mm x 2.50mm)",DigiKey,"445-C3225X7S1A476M250ACCT-ND","","","","","","","","","","",,capacitors\capacitor,X7S,"0.110 (2.80mm)",±20%,"","47uF","10V"
