"Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Composition","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Number of Terminations","Operating Temperature","Package / Case","Packaging","Part Status","Power (Watts)","Price","Ratings","Resistance","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Temperature Coefficient","Tolerance","Type","Value"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CR2010.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CR2512-J-2R2ELF/118-CR2512-J-2R2ELFCT-ND/10673817,"","","","","","","","",Thick Film,RES SMD 2.2 OHM 5% 1W 2512,"2512 (6432 Metric)","","",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.75mm)","2020-09-02 01:26:49.087000",Active,Bourns Inc.,CR2512-J/-2R2ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.07","","2.2 Ohms",CR2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CR2512-J/-2R2ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1","",±5%,"","2.2"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CR2010.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CR2512-JW-510ELF/118-CR2512-JW-510ELFCT-ND/10673812,"","","","","","","","",Thick Film,RES SMD 51 OHM 5% 1W 2512,"2512 (6432 Metric)","","",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.75mm)","2020-09-02 01:26:49.103000",Active,Bourns Inc.,CR2512-JW-510ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.07","","51 Ohms",CR2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CR2512-JW-510ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","51"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CR2010.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CR2512-JW-200ELF/118-CR2512-JW-200ELFCT-ND/10673766,"","","","","","","","",Thick Film,RES SMD 20 OHM 5% 1W 2512,"2512 (6432 Metric)","","",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.75mm)","2020-09-02 01:26:49.107000",Active,Bourns Inc.,CR2512-JW-200ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.07","","20 Ohms",CR2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CR2512-JW-200ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","20"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CR2010.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CR2512-JW-680ELF/118-CR2512-JW-680ELFCT-ND/10673760,"","","","","","","","",Thick Film,RES SMD 68 OHM 5% 1W 2512,"2512 (6432 Metric)","","",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.75mm)","2020-09-02 01:26:49.110000",Active,Bourns Inc.,CR2512-JW-680ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.07","","68 Ohms",CR2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CR2512-JW-680ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","68"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CR2010.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CR2512-J-1R0ELF/118-CR2512-J-1R0ELFCT-ND/10673748,"","","","","","","","",Thick Film,RES SMD 1 OHM 5% 1W 2512,"2512 (6432 Metric)","","",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.75mm)","2020-09-02 01:26:49.113000",Active,Bourns Inc.,CR2512-J/-1R0ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.07","","1 Ohms",CR2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CR2512-J/-1R0ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1","",±5%,"","1"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CR2010.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CR2512-JW-221ELF/118-CR2512-JW-221ELFCT-ND/10673700,"","","","","","","","",Thick Film,RES SMD 220 OHM 5% 1W 2512,"2512 (6432 Metric)","","",,,,"R2512N,R2512L,R2512M",,,"0.030 (0.75mm)","2020-09-02 01:26:49.133000",Active,Bourns Inc.,CR2512-JW-221ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"1W","0.07","","220 Ohms",CR2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CR2512-JW-221ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","220"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CRM.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRM2512-JW-200ELF/118-CRM2512-JW-200ELFCT-ND/10673821,"","","","","","","","",Thick Film,RES SMD 20 OHM 5% 2W 2512,"2512 (6432 Metric)","",Current Sense,,,,"R2512N,R2512L,R2512M",,,"0.031 (0.80mm)","2020-09-02 01:26:49.137000",Active,Bourns Inc.,CRM2512-JW-200ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","0.06","","20 Ohms",CRM2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CRM2512-JW-200ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","20"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CRM.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRM2512-JW-473ELF/118-CRM2512-JW-473ELFCT-ND/10673750,"","","","","","","","",Thick Film,RES SMD 47K OHM 5% 2W 2512,"2512 (6432 Metric)","",Current Sense,,,,"R2512N,R2512L,R2512M",,,"0.031 (0.80mm)","2020-09-02 01:26:49.157000",Active,Bourns Inc.,CRM2512-JW-473ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","0.06","","47 kOhms",CRM2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CRM2512-JW-473ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","47k"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CRM.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRM2512-JW-223ELF/118-CRM2512-JW-223ELFCT-ND/10673728,"","","","","","","","",Thick Film,RES SMD 22K OHM 5% 2W 2512,"2512 (6432 Metric)","",Current Sense,,,,"R2512N,R2512L,R2512M",,,"0.031 (0.80mm)","2020-09-02 01:26:49.160000",Active,Bourns Inc.,CRM2512-JW-223ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","0.06","","22 kOhms",CRM2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CRM2512-JW-223ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","22k"
=Value,Datasheet,https://www.bourns.com/docs/Product-Datasheets/CRM.pdf,DigiKey Link,http://digikey.com/product-detail/en/bourns-inc/CRM2512-JW-510ELF/118-CRM2512-JW-510ELFCT-ND/10673704,"","","","","","","","",Thick Film,RES SMD 51 OHM 5% 2W 2512,"2512 (6432 Metric)","",Current Sense,,,,"R2512N,R2512L,R2512M",,,"0.031 (0.80mm)","2020-09-02 01:26:49.163000",Active,Bourns Inc.,CRM2512-JW-510ELF,"1","2",-55°C ~ 155°C,"2512 (6432 Metric)",TapeAndReel,Active,"2W","0.06","","51 Ohms",CRM2512,"0.248 L x 0.122 W (6.30mm x 3.10mm)",DigiKey,"118-CRM2512-JW-510ELFCT-ND","","","","","","","","","","","2512",,"resistors\Resistor,resistors\Resistor1",±200ppm/°C,±5%,"","51"
