Part Type,Part Number,Schematic Part,Part Value,Current - Reverse Leakage @ Vr,Impedance (Max) (Zzt),Voltage - Forward (Vf) (Max) @ If,Voltage - Zener (Nom) (Vz),Tolerance,Allegro PCB Footprint,Package / Case,Pspice Model,Power - Max,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE ZENER,BZX84W-B3V9F,diodes\Diode_ZENER,,3µA @ 1V,90 Ohms,900mV @ 10mA,3.9V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B3V9/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B43F,diodes\Diode_ZENER,,50nA @ 30.1V,150 Ohms,900mV @ 10mA,43V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B43/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B4V3F,diodes\Diode_ZENER,,3µA @ 1V,90 Ohms,900mV @ 10mA,4.3V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B4V3/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B51F,diodes\Diode_ZENER,,50nA @ 35.7V,180 Ohms,900mV @ 10mA,51V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B51/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B56F,diodes\Diode_ZENER,,50nA @ 39.2V,200 Ohms,900mV @ 10mA,56V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B56/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B68F,diodes\Diode_ZENER,,50nA @ 47.6V,240 Ohms,900mV @ 10mA,68V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B68/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B6V2F,diodes\Diode_ZENER,,3µA @ 4V,10 Ohms,900mV @ 10mA,6.2V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B6V2/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B8V2F,diodes\Diode_ZENER,,700nA @ 5V,15 Ohms,900mV @ 10mA,8.2V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B8V2/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B9V1F,diodes\Diode_ZENER,,500nA @ 6V,15 Ohms,900mV @ 10mA,9.1V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B9V1/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-C10X,diodes\Diode_ZENER,,200nA @ 7V,20 Ohms,900mV @ 10mA,10V,±5%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-C10/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-C16X,diodes\Diode_ZENER,,50nA @ 11.2V,40 Ohms,900mV @ 10mA,16V,±5%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-C16/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-C22X,diodes\Diode_ZENER,,50nA @ 15.4V,55 Ohms,900mV @ 10mA,22V,±5%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-C22/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-C30X,diodes\Diode_ZENER,,50nA @ 21V,80 Ohms,900mV @ 10mA,30V,±5%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-C30/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-C4V3X,diodes\Diode_ZENER,,3µA @ 1V,90 Ohms,900mV @ 10mA,4.3V,±5%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-C4V3/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-C62X,diodes\Diode_ZENER,,50nA @ 43.4V,215 Ohms,900mV @ 10mA,62V,±5%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-C62/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-C75X,diodes\Diode_ZENER,,50nA @ 52.2V,255 Ohms,900mV @ 10mA,75V,±5%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-C75/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-C7V5X,diodes\Diode_ZENER,,1µA @ 5V,15 Ohms,900mV @ 10mA,7.5V,±5%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-C7V5/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-C18X,diodes\Diode_ZENER,,50nA @ 12.6V,45 Ohms,900mV @ 10mA,18V,±5%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-C18/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B11X,diodes\Diode_ZENER,,100nA @ 8V,20 Ohms,900mV @ 10mA,11V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B11/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B12X,diodes\Diode_ZENER,,100nA @ 8V,25 Ohms,900mV @ 10mA,12V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B12/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B27X,diodes\Diode_ZENER,,50nA @ 18.9V,80 Ohms,900mV @ 10mA,27V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B27/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B36X,diodes\Diode_ZENER,,50nA @ 25.2V,90 Ohms,900mV @ 10mA,36V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B36/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B62X,diodes\Diode_ZENER,,50nA @ 43.4V,215 Ohms,900mV @ 10mA,62V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B62/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
DIODE ZENER,BZX84W-B75X,diodes\Diode_ZENER,,50nA @ 52.2V,255 Ohms,900mV @ 10mA,75V,±2%,,"SC-70, SOT-323",,275mW,,https://assets.nexperia.com/documents/data-sheet/BZX84W_SER.pdf,BZX84W-B75/SOT323/SC-70,Surface Mount,,2,150°C (TJ),,Nexperia USA Inc.,,,
