Part Type,Applications,Type,Part Number,Schematic Part,Part Value,Capacitance @ Frequency,Current - Peak Pulse (10/1000us),Power Line Protection,Power - Peak Pulse,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Reverse Standoff (Typ),Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE TVS,General Purpose,Zener,3.0SMI150ATR,diodes\Diode_TVS_UNI,,,12.3A,No,3000W (3kW),167V,243V,150V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI100ATR,diodes\Diode_TVS_UNI,,,18.5A,No,3000W (3kW),111V,162V,100V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI16ATR,diodes\Diode_TVS_UNI,,,115.4A,No,3000W (3kW),17.8V,26V,16V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI28ATR,diodes\Diode_TVS_UNI,,,66.1A,No,3000W (3kW),31.1V,45.4V,28V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI30ATR,diodes\Diode_TVS_UNI,,,62A,No,3000W (3kW),33.3V,48.4V,30V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI54ATR,diodes\Diode_TVS_UNI,,,34.4A,No,3000W (3kW),60V,87.1V,54V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI36ATR,diodes\Diode_TVS_UNI,,,51.6A,No,3000W (3kW),40V,58.1V,36V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI22ATR,diodes\Diode_TVS_UNI,,,84.5A,No,3000W (3kW),24.4V,35.5V,22V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI17ATR,diodes\Diode_TVS_UNI,,,108.7A,No,3000W (3kW),18.9V,27.6V,17V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI15ATR,diodes\Diode_TVS_UNI,,,123A,No,3000W (3kW),16.7V,24.4V,15V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,General Purpose,Zener,3.0SMI33ATR,diodes\Diode_TVS_UNI,,,56.3A,No,3000W (3kW),36.7V,53.3V,33V,,"DO-214AB, SMC",,,,http://www.smc-diodes.com/propdf/3.0SMI%20SERIES%20N1804%20REV.A.pdf,DIODE TRANSIENT VOLTAGE SUPPRESS,Surface Mount,,2,-55°C ~ 150°C (TJ),,SMC Diode Solutions,,,
DIODE TVS,Telecom,Zener,8.0SMDJ75A,diodes\Diode_TVS_UNI,,,66.2A,No,8000W (8kW),83.3V,121V,75V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_8_0smdj_datasheet.pdf.pdf,TVS DIODE 8KW 75V 5%UNI DO-214AB,Surface Mount,,2,-65°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,Telecom,Zener,8.0SMDJ110A,diodes\Diode_TVS_UNI,,,45.2A,No,8000W (8kW),122V,177V,110V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_8_0smdj_datasheet.pdf.pdf,TVS DIODE 8KW 110V 5%UNI DO-214A,Surface Mount,,2,-65°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,Telecom,Zener,8.0SMDJ40A,diodes\Diode_TVS_UNI,,,124.1A,No,8000W (8kW),44.4V,64.5V,40V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_8_0smdj_datasheet.pdf.pdf,TVS DIODE 8KW 40V 5%UNI DO-214AB,Surface Mount,,2,-65°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,Telecom,Zener,8.0SMDJ14A,diodes\Diode_TVS_UNI,,,344.9A,No,8000W (8kW),15.6V,23.2V,14V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_8_0smdj_datasheet.pdf.pdf,TVS DIODE 8KW 14V 5%UNI DO-214AB,Surface Mount,,2,-65°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,5.0SMDJ9.0A-H,diodes\Diode_TVS_UNI,,,324.8A,No,5000W (5kW),10V,15.4V,9V,,"DO-214AB, SMC",,,,https://www.bourns.com/docs/product-datasheets/5-0smdj.pdf,DIO TVS VWM 9.0V 5KW UNIDIR SMC,Surface Mount,,2,-55°C ~ 150°C (TJ),,Bourns Inc.,,,
DIODE TVS,Automotive,Zener,5.0SMDJ20A-Q,diodes\Diode_TVS_UNI,,,155A,No,5000W (5kW),22.2V,32.4V,20V,,"DO-214AB, SMC",,,,https://www.bourns.com/docs/product-datasheets/5-0smdj-q.pdf?sfvrsn=a6c72f6_2,DIO TVS VWM 20V 5KW UNIDIR SMC A,Surface Mount,,2,-55°C ~ 150°C (TJ),,Bourns Inc.,,,
DIODE TVS,Automotive,Zener,5.0SMDJ18A-Q,diodes\Diode_TVS_UNI,,,172A,No,5000W (5kW),20V,29.2V,18V,,"DO-214AB, SMC",,,,https://www.bourns.com/docs/product-datasheets/5-0smdj-q.pdf?sfvrsn=a6c72f6_2,DIO TVS VWM 18V 5KW UNIDIR SMC A,Surface Mount,,2,-55°C ~ 150°C (TJ),,Bourns Inc.,,,
DIODE TVS,Automotive,Zener,5.0SMDJ14A-Q,diodes\Diode_TVS_UNI,,,216A,No,5000W (5kW),15.6V,23.2V,14V,,"DO-214AB, SMC",,,,https://www.bourns.com/docs/product-datasheets/5-0smdj-q.pdf?sfvrsn=a6c72f6_2,DIO TVS VWM 14V 5KW UNIDIR SMC A,Surface Mount,,2,-55°C ~ 150°C (TJ),,Bourns Inc.,,,
DIODE TVS,General Purpose,Zener,1.5SMC51A,diodes\Diode_TVS_UNI,,,21.7A,No,1500W (1.5kW),48.5V,70.1V,43.6V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_1_5smc_datasheet.pdf.pdf,TVS DIODE 43.6V 70.1V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,1.5SMC15A,diodes\Diode_TVS_UNI,,,71.7A,No,1500W (1.5kW),14.3V,21.2V,12.8V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_1_5smc_datasheet.pdf.pdf,TVS DIODE 12.8V 21.2V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,1.5SMC30A,diodes\Diode_TVS_UNI,,,36.7A,No,1500W (1.5kW),28.5V,41.4V,25.6V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_1_5smc_datasheet.pdf.pdf,TVS DIODE 25.6V 41.4V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,SMCJ180A,diodes\Diode_TVS_UNI,,,5.1A,No,1500W (1.5kW),201V,292V,180V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/products/tvs-diodes/surface-mount/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smcj_datasheet.pdf.pdf,TVS DIODE 180V 292V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,1.5SMC56A,diodes\Diode_TVS_UNI,,,19.7A,No,1500W (1.5kW),53.2V,77V,47.8V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_1_5smc_datasheet.pdf.pdf,TVS DIODE 47.8V 77V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,1.5SMC62A,diodes\Diode_TVS_UNI,,,17.9A,No,1500W (1.5kW),58.9V,85V,53V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_1_5smc_datasheet.pdf.pdf,TVS DIODE 53V 85V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,SMCJ200A,diodes\Diode_TVS_UNI,,,4.6A,No,1500W (1.5kW),224V,324V,200V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/products/tvs-diodes/surface-mount/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smcj_datasheet.pdf.pdf,TVS DIODE 200V 324V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,1.5SMC39A,diodes\Diode_TVS_UNI,,,28.2A,No,1500W (1.5kW),37.1V,53.9V,33.3V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_1_5smc_datasheet.pdf.pdf,TVS DIODE 33.3V 53.9V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,1.5SMC18A,diodes\Diode_TVS_UNI,,,60.3A,No,1500W (1.5kW),17.1V,25.2V,15.3V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_1_5smc_datasheet.pdf.pdf,TVS DIODE 15.3V 25.2V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,1.5SMC33A,diodes\Diode_TVS_UNI,,,33.3A,No,1500W (1.5kW),31.4V,45.7V,28.2V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_1_5smc_datasheet.pdf.pdf,TVS DIODE 28.2V 45.7V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,SMCJ64A,diodes\Diode_TVS_UNI,,,14.6A,No,1500W (1.5kW),71.1V,103V,64V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/products/tvs-diodes/surface-mount/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smcj_datasheet.pdf.pdf,TVS DIODE 64V 103V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
DIODE TVS,General Purpose,Zener,SMCJ33A-13-F,diodes\Diode_TVS_UNI,,,28.1A,No,1500W (1.5kW),36.7V,53.3V,33V,,"DO-214AB, SMC",,,,https://www.diodes.com/assets/Datasheets/ds19003.pdf,TVS DIODE 33V 53.3V SMC,Surface Mount,,2,-55°C ~ 150°C (TJ),,Diodes Incorporated,,,
DIODE TVS,General Purpose,Zener,SMCJ130A,diodes\Diode_TVS_UNI,,,7.2A,No,1500W (1.5kW),144V,209V,130V,,"DO-214AB, SMC",,,,https://www.littelfuse.com/products/tvs-diodes/surface-mount/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smcj_datasheet.pdf.pdf,TVS DIODE 130V 209V DO214AB,Surface Mount,,2,-55°C ~ 150°C (TJ),,Littelfuse Inc.,,,
