Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,"Automotive, Boardflex Sensitive",GCJ55DR72E474KXJ1L,capacitors\2220_5750Metric,0.47uF,±10%,Soft Termination,250V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c03e.ashx?la=en-us,CAP CER 0.47UF 250V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,Boardflex Sensitive,C2220X473KFRAC7800,capacitors\2220_5750Metric,0.047uF,±10%,"Low ESL, Soft Termination, High Voltage",1500V (1.5kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220X473KFRAC7800.pdf,CAP CER 0.047UF 1.5KV X7R 2220 F,"Surface Mount, MLCC",0.232 L x 0.197 W (5.90mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C2220C562KHRAC7800,capacitors\2220_5750Metric,5600pF,±10%,"Low ESL, High Voltage",3000V (3kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C562KHRAC7800.pdf,CAP CER 5600PF 3KV X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,Automotive,GC355DD72E474KX01L,capacitors\2220_5750Metric,0.47uF,±10%,,250V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c03e.ashx?la=en-us,CAP CER 0.47UF 250V X7T 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,Boardflex Sensitive,C2220X472KHRAC7800,capacitors\2220_5750Metric,4700pF,±10%,"Low ESL, Soft Termination, High Voltage",3000V (3kV),"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220X472KHRAC7800.pdf,CAP CER 4700PF 3KV X7R 2220,"Surface Mount, MLCC",0.232 L x 0.197 W (5.90mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
Capacitor,Automotive,GC355DD72J154KX01L,capacitors\2220_5750Metric,0.15uF,±10%,,630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c03e.ashx?la=en-us,CAP CER 0.15UF 630V X7T 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,Automotive,GC355DD72J104KX01L,capacitors\2220_5750Metric,0.1uF,±10%,,630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c03e.ashx?la=en-us,CAP CER 0.1UF 630V X7T 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,General Purpose,GR355DD72J154KW01L,capacitors\2220_5750Metric,0.15uF,±10%,,630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GR355DD72J154KW01-01.pdf,CAP CER 0.15UF 630V X7T 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,General Purpose,GR355DD72J104KW01L,capacitors\2220_5750Metric,0.1uF,±10%,,630V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GR355DD72J104KW01-01.pdf,CAP CER 0.1UF 630V X7T 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,Automotive,GC355DD72W474KX01L,capacitors\2220_5750Metric,0.47uF,±10%,,450V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c03e.ashx?la=en-us,CAP CER 0.47UF 450V X7T 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,General Purpose,GR355DD72W474KW01L,capacitors\2220_5750Metric,0.47uF,±10%,,450V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GR355DD72W474KW01-01.pdf,CAP CER 0.47UF 450V X7T 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,Murata Electronics,,,
Capacitor,General Purpose,C2220C104KCRACTU,capacitors\2220_5750Metric,0.1uF,±10%,"Low ESL, High Voltage",500V,"C2220N,C2220L,C2220M",2220 (5750 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C2220C104KCRACTU.pdf,CAP CER 0.1UF 500V X7R 2220,"Surface Mount, MLCC",0.224 L x 0.197 W (5.70mm x 5.00mm),2,-55°C ~ 125°C,,KEMET,,,
