Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp.,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,General Purpose,875105242005,"capacitors\Capacitor_AL,capacitors\Capacitor_p",39uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105242005.pdf,CAP ALUM POLY 39UF 20% 10V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105242004,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105242004.pdf,CAP ALUM POLY 33UF 20% 10V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105142003,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,6.3V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105142003.pdf,CAP ALUM POLY 68UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105242007,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105242007.pdf,CAP ALUM POLY 56UF 20% 10V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105142005,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,6.3V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105142005.pdf,CAP ALUM POLY 100UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105142006,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,6.3V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105142006.pdf,CAP ALUM POLY 150UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105242009,"capacitors\Capacitor_AL,capacitors\Capacitor_p",82uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105242009.pdf,CAP ALUM POLY 82UF 20% 10V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105242006,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,20mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105242006.pdf,CAP ALUM POLY 47UF 20% 10V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105242008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105242008.pdf,CAP ALUM POLY 68UF 20% 10V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105242010,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105242010.pdf,CAP ALUM POLY 100UF 20% 10V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105142002,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,30mOhm,,1.97A @ 100kHz,98.5mA @ 120Hz,2000 Hrs @ 105°C,,6.3V,,CAP ALSMD 5.3MM H5.4MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105142002.pdf,CAP ALUM POLY 56UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,RFS0G151MCN1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,22mOhm,,2.61A @ 100kHz,261mA @ 120Hz,2000 Hrs @ 105°C,,4V,,CAP ALSMD POLY 5.3MM H5.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-rfs_rfa.pdf,CAP ALUM POLY 150UF 20% 4V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,RFS0J101MCN1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,24mOhm,,2.5A @ 100kHz,250mA @ 120Hz,2000 Hrs @ 105°C,,6.3V,,CAP ALSMD POLY 5.3MM H5.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-rfs_rfa.pdf,CAP ALUM POLY 100UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,APXC6R3ARA101ME60G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,35mOhm,,1.78A @ 100kHz,,1000 Hrs @ 105°C,,6.3V,,CAP ALSMD POLY 5.3MM H5.7MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/PXC%20Series.pdf,CAP ALUM POLY 100UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,RFS0J121MCN1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",120uF,±20%,24mOhm,,2.5A @ 100kHz,250mA @ 120Hz,2000 Hrs @ 105°C,,6.3V,,CAP ALSMD POLY 5.3MM H5.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-rfs_rfa.pdf,CAP ALUM POLY 120UF 20% 6.3V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,APXC100ARA560ME60G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,40mOhm,,1.66A @ 100kHz,,1000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 5.3MM H5.7MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/PXC%20Series.pdf,CAP ALUM POLY 56UF 20% 10V SMD,Surface Mount,0.197 Dia (5.00mm),0.209 L x 0.209 W (5.30mm x 5.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
