Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,Features,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Capacitor,General Purpose,VJ1206Y103KXEAT,capacitors\1206_3216Metric,10000pF,±10%,,500V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP CER 10000PF 500V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,Vishay Vitramon,,,
Capacitor,Boardflex Sensitive,C1206X103K5RAC7800,capacitors\1206_3216Metric,10000pF,±10%,Soft Termination,50V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206X103K5RACTU.pdf,CAP CER 10000PF 50V X7R 1206,"Surface Mount, MLCC",0.130 L x 0.063 W (3.30mm x 1.60mm),2,X7R,-55°C ~ 125°C,,KEMET,,,
Capacitor,Automotive,CGA5L1X7R1E106M160AC,capacitors\1206_3216Metric,10uF,±20%,,25V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf?ref_disty=digikey,CAP CER 10UF 25V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,TDK Corporation,,,
Capacitor,Boardflex Sensitive,C1206X102K5RACTU,capacitors\1206_3216Metric,1000pF,±10%,Soft Termination,50V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206X102K5RACTU.pdf,CAP CER 1000PF 50V X7R 1206,"Surface Mount, MLCC",0.130 L x 0.063 W (3.30mm x 1.60mm),2,X7R,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,1206ZD106KAT2A,capacitors\1206_3216Metric,10uF,±10%,,10V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://datasheets.avx.com/cx5r.pdf,CAP CER 10UF 10V X5R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X5R,-55°C ~ 85°C,,AVX Corporation,,,
Capacitor,Boardflex Sensitive,C1206S103K5RACTU,capacitors\1206_3216Metric,10000pF,±10%,Floating Electrode,50V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206S103K5RACTU.pdf,CAP CER 10000PF 50V X7R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7R,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C3216X7T2E224M160AA,capacitors\1206_3216Metric,0.22uF,±20%,,250V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey,CAP CER 0.22UF 250V X7T 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X7T,-55°C ~ 125°C,,TDK Corporation,,,
Capacitor,"Automotive, Boardflex Sensitive",C1206X106K3RACAUTO,capacitors\1206_3216Metric,10uF,±10%,Soft Termination,25V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206X106K3RACAUTO.pdf,CAP CER 10UF 25V X7R 1206,"Surface Mount, MLCC",0.130 L x 0.063 W (3.30mm x 1.60mm),2,X7R,-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,VJ1206A471JXEAT,capacitors\1206_3216Metric,470pF,±5%,,500V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP CER 470PF 500V C0G/NP0 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 150°C,,Vishay Vitramon,,,
Capacitor,General Purpose,C1206C102G5GAC7800,capacitors\1206_3216Metric,1000pF,±2%,Low ESL,50V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206C102G5GACTU.pdf,CAP CER 1000PF 50V NP0 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,"SMPS Filtering, Boardflex Sensitive",1206AC472KAZ1A,capacitors\1206_3216Metric,4700pF,±10%,"Soft Termination, High Voltage",1000V (1kV),"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://datasheets.avx.com/HV-FlexitermMLCC.pdf,CAP CER 4700PF 1KV X7R 1206,"Surface Mount, MLCC",0.130 L x 0.063 W (3.30mm x 1.60mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,General Purpose,C1206C154J3JAC7800,capacitors\1206_3216Metric,0.15uF,±5%,"Low ESL, Low Dissipation Factor",25V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206C154J3JAC7800.pdf,CAP CER 0.15UF 25V U2J 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,U2J,-55°C ~ 125°C,,KEMET,,,
Capacitor,"SMPS Filtering, Boardflex Sensitive",1206AC222KAZ1A,capacitors\1206_3216Metric,2200pF,±10%,"Soft Termination, High Voltage",1000V (1kV),"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,http://datasheets.avx.com/HV-FlexitermMLCC.pdf,CAP CER 2200PF 1KV X7R 1206,"Surface Mount, MLCC",0.130 L x 0.063 W (3.30mm x 1.60mm),2,X7R,-55°C ~ 125°C,,AVX Corporation,,,
Capacitor,Automotive,C1206C333J5GACAUTO,capacitors\1206_3216Metric,0.033uF,±5%,Low ESL,50V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206C333J5GACAUTO.pdf,CAP CER 0.033UF 50V C0G/NP0 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C1206C201FBGAC7800,capacitors\1206_3216Metric,200pF,±1%,"Low ESL, High Voltage",630V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://api.kemet.com/component-edge/download/datasheet/C1206C201FBGAC7800.pdf,CAP CER 200PF 630V C0G/NP0 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,"C0G, NP0",-55°C ~ 125°C,,KEMET,,,
Capacitor,General Purpose,C3216X8R1E475K160AC,capacitors\1206_3216Metric,4.7uF,±10%,High Temperature,25V,"C1206N,C1206L,C1206M",1206 (3216 Metric),C,,,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_hightemp_en.pdf?ref_disty=digikey,CAP CER 4.7UF 25V X8R 1206,"Surface Mount, MLCC",0.126 L x 0.063 W (3.20mm x 1.60mm),2,X8R,-55°C ~ 150°C,,TDK Corporation,,,
