Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,High Temperature Reflow,UWZ1H330MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,90mA @ 10kHz,60mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwz.pdf,CAP ALUM 33UF 20% 50V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EEE-HAC221XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,178.5mA @ 10kHz,105mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1148.pdf,CAP ALUM 220UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,UWD1V560MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",56uF,±20%,,340 mOhms,280mA @ 100kHz,140mA @ 120Hz,2000 Hrs @ 105°C,,35V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 56UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EMVH500ADA220MF80G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,2000mOhm @ 100kHz,,83mA @ 100kHz,77.19mA @ 120Hz,1000 Hrs @ 125°C,Polar,50V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://www.chemi-con.com/upload/files/9/3/45226975052d6c71e04ba0.pdf,CAP ALUM 22UF 20% 50V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 125°C,,United Chemi-Con,,,
,General Purpose,UCL1C101MCL6GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 100UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EMZA500ADA470MF80G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,680 mOhms,195mA @ 100kHz,78mA @ 120Hz,2000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mza,CAP ALUM 47UF 20% 50V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,Automotive,EEE-HBH470YAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,107.1mA @ 10kHz,63mA @ 120Hz,2000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1154.pdf,CAP ALUM 47UF 20% 50V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,EMVE350ADA101MF80G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,,100mA @ 120Hz,1000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H7.7MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVE%20Series.pdf,CAP ALUM 100UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,United Chemi-Con,,,
,Automotive,EEE-FPC221XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,160 mohm @ 100kHz,,600mA @ 100kHz,390mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0114+EEEFPC221XAP+7+WW,CAP ALUM 220UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,865080445010,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,380 mOhms,290mA @ 100kHz,188.5mA @ 120Hz,2000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080445010.pdf,CAP 100 UF 20% 25 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,Automotive,EMZA160ADA221MF80G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,340 mOhms,280mA @ 100kHz,140mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mza,CAP ALUM 220UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,UCL1C221MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 220UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,865080645010,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,710 mOhms,190mA @ 100kHz,123.5mA @ 120Hz,2000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080645010.pdf,CAP 33 UF 20% 50 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,Automotive,EEE-FPA221XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,160 mohm @ 100kHz,,600mA @ 100kHz,390mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0114+EEEFPA221XAP+7+WW,CAP ALUM 220UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FPJ331XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,160 mohm @ 100kHz,,600mA @ 100kHz,390mA @ 120Hz,2000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0114+EEEFPJ331XAP+7+WW,CAP ALUM 330UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FPC101XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,160 mohm @ 100kHz,,600mA @ 100kHz,390mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0114+EEEFPC101XAP+7+WW,CAP ALUM 100UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FPV680XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,160 mohm @ 100kHz,,600mA @ 100kHz,390mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0114+EEEFPV680XAP+7+WW,CAP ALUM 68UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,UWT0G331MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,,157.5mA @ 10kHz,105mA @ 120Hz,1000 Hrs @ 105°C,Polar,4V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,CAP ALUM 330UF 20% 4V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,AVE107M25X16T-F,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,2.32Ohm @ 120Hz,,173.6mA @ 10kHz,124mA @ 120Hz,2000 Hrs @ 85°C,Polar,25V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://www.cde.com/resources/catalogs/AVE.pdf,CAP ALUM 100UF 20% 25V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Cornell Dubilier Electronics (CDE),,,
,General Purpose,UUD0J331MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,340 mOhms,280mA @ 100kHz,140mA @ 120Hz,2000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uud.pdf,CAP ALUM 330UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EEE-HC1V330XP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,96.9mA @ 10kHz,57mA @ 120Hz,3000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0109+EEEHC1V330XP+7+WW,CAP ALUM 33UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,EMVY6R3ADA331MF80G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,340 mOhms,280mA @ 100kHz,140mA @ 120Hz,1000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mvy,CAP ALUM 330UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,EMVE500ADA330MF80G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,,65mA @ 120Hz,1000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 6.6MM H7.7MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MVE%20Series.pdf,CAP ALUM 33UF 20% 50V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,EMVA160ADA151MF80G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,,118.8mA @ 100kHz,110mA @ 120Hz,2000 Hrs @ 85°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mva,CAP ALUM 150UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,United Chemi-Con,,,
,High Temperature Reflow,UWZ1A221MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,157.5mA @ 10kHz,105mA @ 120Hz,1000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwz.pdf,CAP ALUM 220UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,"Automotive, High Temperature Reflow",EEE-HDV330XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,2 Ohms,96.9mA @ 10kHz,57mA @ 120Hz,5000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+4+ABA0100+EEEHDV330XAP+8+WW,CAP ALUM 33UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,865230245004,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,94.8mA @ 10kHz,79mA @ 120Hz,5000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865230245004.pdf,CAP 100 UF 20% 10 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Würth Elektronik,,,
,Automotive,EEE-HC0J221XP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,171.7mA @ 10kHz,101mA @ 120Hz,3000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0109+EEEHC0J221XP+7+WW,CAP ALUM 220UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,High Temperature Reflow,UWZ1C221MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,157.5mA @ 10kHz,105mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwz.pdf,CAP ALUM 220UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UUA1H220MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,87mA @ 10kHz,58mA @ 120Hz,3000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uua.pdf,CAP ALUM 22UF 20% 50V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UCL0J331MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,2000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 330UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UCL1A221MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 220UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UCL1C151MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 150UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UCL1V680MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucl.pdf,CAP ALUM 68UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EEE-FPC151XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,160 mohm @ 100kHz,,600mA @ 100kHz,390mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0114+EEEFPC151XAP+7+WW,CAP ALUM 150UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HBV470YAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,166.6mA @ 10kHz,98mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1154.pdf,CAP ALUM 47UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-HBC470XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,142.8mA @ 10kHz,84mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1154.pdf,CAP ALUM 47UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,865060645007,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,680 mOhms,185mA @ 100kHz,120.25mA @ 120Hz,2000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060645007.pdf,CAP 33 UF 20% 50 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,865060345006,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,360 mOhms,280mA @ 100kHz,182mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060345006.pdf,CAP 150 UF 20% 16 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,Automotive,EEE-HA0J331XP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,,178.5mA @ 10kHz,105mA @ 120Hz,1000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1151.pdf,CAP ALUM 330UF 20% 6.3V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1VA101XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,224.4mA @ 10kHz,132mA @ 120Hz,2000 Hrs @ 85°C,Polar,35V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf,CAP ALUM 100UF 20% 35V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,Automotive,EEE-1AA221XAP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,294.1mA @ 10kHz,173mA @ 120Hz,2000 Hrs @ 85°C,Polar,10V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf,CAP ALUM 220UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Panasonic Electronic Components,,,
,General Purpose,865250345006,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,76.5mA @ 100kHz,51mA @ 120Hz,2000 Hrs @ 85°C,Bi-Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865250345006.pdf,CAP 47 UF 20% 16 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865090645010,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,72mA @ 100kHz,48mA @ 120Hz,1000 Hrs @ 85°C,Polar,50V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090645010.pdf,CAP 22 UF 20% 50 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,High Temperature Reflow,UWZ1C151MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,,142.5mA @ 10kHz,95mA @ 120Hz,1000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwz.pdf,CAP ALUM 150UF 20% 16V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,865090445006,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,97.5mA @ 100kHz,65mA @ 120Hz,1000 Hrs @ 85°C,Polar,25V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090445006.pdf,CAP 47 UF 20% 25 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865090145008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,,186mA @ 100kHz,155mA @ 120Hz,1000 Hrs @ 85°C,Polar,6.3V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090145008.pdf,CAP 330 UF 20% 6.3 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865090245007,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,150mA @ 100kHz,125mA @ 120Hz,1000 Hrs @ 85°C,Polar,10V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090245007.pdf,CAP 220 UF 20% 10 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865090545006,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,87mA @ 100kHz,58mA @ 120Hz,1000 Hrs @ 85°C,Polar,35V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090545006.pdf,CAP 33 UF 20% 35 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,General Purpose,865090145006,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,,122.4mA @ 100kHz,102mA @ 120Hz,1000 Hrs @ 85°C,Polar,6.3V,,CAP ALSMD 6.6MM H7.7MM,C,,,https://katalog.we-online.de/pbs/datasheet/865090145006.pdf,CAP 220 UF 20% 6.3 V,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-40°C ~ 85°C,,Würth Elektronik,,,
,Automotive,EMZA100ADA221MF80G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,340 mOhms,280mA @ 100kHz,140mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 6.6MM H7.7MM,C,,,http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=mza,CAP ALUM 220UF 20% 10V SMD,Surface Mount,0.248 Dia (6.30mm),0.260 L x 0.260 W (6.60mm x 6.60mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
