Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,Automotive,35THV47M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,300mOhm @ 100kHz,,300mA @ 100kHz,150mA @ 120Hz,3000 Hrs @ 125°C,Polar,35V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_THV.pdf,CAP ALUM 47UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 125°C,,Rubycon,,,
,General Purpose,UUL0J331MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,,240mA @ 10kHz,160mA @ 120Hz,5000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uul.pdf,CAP ALUM 330UF 20% 6.3V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Automotive,EMVH630ADA470MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,700mOhm @ 100kHz,,100mA @ 100kHz,93mA @ 120Hz,2000 Hrs @ 125°C,Polar,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.chemi-con.com/upload/files/9/3/45226975052d6c71e04ba0.pdf,CAP ALUM 47UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 125°C,,United Chemi-Con,,,
,General Purpose,865060353009,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,,170 mOhms,600mA @ 100kHz,390mA @ 120Hz,5000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060353009.pdf,CAP 470 UF 20% 16 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UUL1V470MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,138mA @ 10kHz,92mA @ 120Hz,5000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uul.pdf,CAP ALUM 47UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 105°C,,Nichicon,,,
,Automotive,63TLV47M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,650 mOhms,250mA @ 100kHz,125mA @ 120Hz,2000 Hrs @ 105°C,Polar,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_TLV.pdf,CAP ALUM 47UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,Automotive,EMZS350ARA471MHA0G,"capacitors\Capacitor_AL,capacitors\Capacitor_p",470uF,±20%,80mOhm @ 100kHz,,850mA @ 100kHz,425mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 8.3MM H10.5MM,C,,,//media.digikey.com/pdf/Data%20Sheets/United%20Chemi-Con%20PDFs/MZS_Series_NPI.pdf,CAP ALUM 470UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,United Chemi-Con,,,
,General Purpose,10TRV330M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,150 mOhms,600mA @ 100kHz,360mA @ 120Hz,8000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_TRV.pdf,CAP ALUM 330UF 20% 10V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 105°C,,Rubycon,,,
,Automotive,EEE-FK1C561SP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",560uF,±20%,160 mohm @ 100kHz,,,390mA @ 120Hz,2000 Hrs @ 105°C,Polar,16V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3102,CAP ALUM 560UF 20% 16V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FK1A821SP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",820uF,±20%,160 mohm @ 100kHz,,,390mA @ 120Hz,2000 Hrs @ 105°C,Polar,10V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3102,CAP ALUM 820UF 20% 10V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,865060453008,"capacitors\Capacitor_AL,capacitors\Capacitor_p",330uF,±20%,,170 mOhms,600mA @ 100kHz,390mA @ 120Hz,5000 Hrs @ 105°C,Polar,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865060453008.pdf,CAP 330 UF 20% 25 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,UUX2A100MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,,,125.25mA @ 10kHz,75mA @ 120Hz,2000 Hrs @ 105°C,Polar,100V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uux.pdf,CAP ALUM 10UF 20% 100V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UUR1J470MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,,,233.8mA @ 10kHz,140mA @ 120Hz,2000 Hrs @ 85°C,,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,CAP ALUM 47UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,Automotive,50TZV100M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,340 mOhms,350mA @ 100kHz,175mA @ 120Hz,2000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_tzv.pdf,CAP ALUM 100UF 20% 50V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,Automotive,50THV47M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",47uF,±20%,360mOhm @ 100kHz,,250mA @ 100kHz,125mA @ 120Hz,3000 Hrs @ 125°C,Polar,50V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_THV.pdf,CAP ALUM 47UF 20% 50V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 125°C,,Rubycon,,,
,General Purpose,UUR1E151MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",150uF,±20%,,,249.6mA @ 10kHz,192mA @ 120Hz,2000 Hrs @ 85°C,,25V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,CAP ALUM 150UF 20% 25V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,General Purpose,UUX1J220MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,,,180.36mA @ 10kHz,108mA @ 120Hz,2000 Hrs @ 105°C,Polar,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uux.pdf,CAP ALUM 22UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,UUR1J330MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,,,195.39mA @ 10kHz,117mA @ 120Hz,2000 Hrs @ 85°C,,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uur.pdf,CAP ALUM 33UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-40°C ~ 85°C,,Nichicon,,,
,Automotive,50SGV100M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,,276mA @ 10kHz,230mA @ 120Hz,2000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_sgv.pdf,CAP ALUM 100UF 20% 50V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,General Purpose,865080653016,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,460 mOhms,350mA @ 100kHz,227.5mA @ 120Hz,2000 Hrs @ 105°C,Polar,50V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/865080653016.pdf,CAP 100 UF 20% 50 V,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,Automotive,35TZV220M8X10.5,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,160 mOhms,600mA @ 100kHz,360mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_tzv.pdf,CAP ALUM 220UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Rubycon,,,
,Automotive,UCD1V221MNL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",220uF,±20%,,160 mOhms,600mA @ 100kHz,300mA @ 120Hz,2000 Hrs @ 105°C,Polar,35V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-ucd.pdf,CAP ALUM 220UF 20% 35V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,Automotive,EEE-FK1J680P,"capacitors\Capacitor_AL,capacitors\Capacitor_p",68uF,±20%,,,,,2000 Hrs @ 105°C,Polar,63V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://na.industrial.panasonic.com/file-download/3122,CAP ALUM 68UF 20% 63V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,Automotive,EEE-FT0J152GP,"capacitors\Capacitor_AL,capacitors\Capacitor_p",1500uF,±20%,80mOhm @ 100kHz,,,595mA @ 120Hz,3000 Hrs @ 105°C,Polar,6.3V,,CAP ALSMD 8.3MM H10.5MM,C,,,https://na.industrial.panasonic.com/file-download/3112,CAP ALUM 1500UF 20% 6.3V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,UWD1H101MCL1GS,"capacitors\Capacitor_AL,capacitors\Capacitor_p",100uF,±20%,,340 mOhms,300mA @ 100kHz,150mA @ 120Hz,5000 Hrs @ 105°C,,50V,,CAP ALSMD 8.3MM H10.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-uwd.pdf,CAP ALUM 100UF 20% 50V SMD,Surface Mount,0.315 Dia (8.00mm),0.327 L x 0.327 W (8.30mm x 8.30mm),2,-55°C ~ 105°C,,Nichicon,,,
