Part Type,Part Number,Schematic Part,Part Value,Current - Continuous Drain (Id) @ 25°C,Drain to Source Voltage (Vdss),"Drive Voltage (Max Rds On,  Min Rds On)",Vgs(th) (Max) @ Id,Vgs (Max),"Rds On (Max) @ Id, Vgs",Gate Charge (Qg) (Max) @ Vgs,Input Capacitance (Ciss) (Max) @ Vds,FET Feature,FET Type,Technology,Allegro PCB Footprint,Package / Case,Pspice Model,Power Dissipation (Max),Technology,Availability,Data Sheet,Description,Mounting Type,Size,Number of FET,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
N CHANNEL,PSMN2R5-40YLDX,,,160A (Ta),40V,"4.5V, 10V",2.05V @ 1mA,±20V,"2.6mOhm @ 25A, 10V",78nC @ 10V,5583pF @ 20V,Schottky Diode (Body),N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,147W (Ta),,,,PSMN2R5-40YLD/SOT669/LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN3R2-40YLDX,,,120A (Ta),40V,"4.5V, 10V",2.05V @ 1mA,±20V,"3.3mOhm @ 25A, 10V",57nC @ 10V,4103pF @ 20V,Schottky Diode (Body),N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,115W (Ta),,,,PSMN3R2-40YLD/SOT669/LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN021-100YLX,,,49A (Tc),100V,"5V, 10V",2.1V @ 1mA,±20V,"21.5mOhm @ 15A, 10V",65.6nC @ 10V,4640pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,147W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN021-100YL.pdf,MOSFET N-CH 100V LFPAK56,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN028-100YS,115",,,42A (Tc),100V,10V,4V @ 1mA,±20V,"27.5mOhm @ 15A, 10V",33nC @ 10V,1634pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,89W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN028-100YS.pdf,MOSFET N-CH 100V 42A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN026-80YS,115",,,34A (Tc),80V,10V,4V @ 1mA,±20V,"27.5mOhm @ 5A, 10V",20nC @ 10V,1200pF @ 40V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,74W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN026-80YS.pdf,MOSFET N-CH 80V 34A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN102-200Y,115",,,21.5A (Tc),200V,10V,4V @ 1mA,±20V,"102mOhm @ 12A, 10V",30.7nC @ 10V,1568pF @ 30V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,113W (Tc),,,//media.digikey.com/pdf/Data%20Sheets/NXP%20PDFs/PSMN102-200Y.pdf,MOSFET N-CH 200V 21.5A LFPAK,Surface Mount,,1,-55°C ~ 150°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN5R5-60YS,115",,,100A (Tc),60V,10V,4V @ 1mA,±20V,"5.2mOhm @ 15A, 10V",56nC @ 10V,3501pF @ 30V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,130W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN5R5-60YS.pdf,MOSFET N-CH 60V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN3R0-30YL,115",,,100A (Tc),30V,"4.5V, 10V",2.15V @ 1mA,±20V,"3mOhm @ 15A, 10V",45.8nC @ 10V,2822pF @ 12V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,81W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN3R0-30YL.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN1R0-25YLDX,,,100A (Tc),25V,"4.5V, 10V",2.2V @ 1mA,±20V,"0.89mOhm @ 25A, 10V",71.8nC @ 10V,5308pF @ 12V,Schottky Diode (Body),N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,160W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN1R0-25YLD.pdf,PSMN1R0-25YLD/LFPAK/REEL 7 Q1,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN1R2-25YLDX,,,100A (Tc),25V,"4.5V, 10V",2.2V @ 1mA,±20V,"1.2mOhm @ 25A, 10V",60.3nC @ 10V,4327pF @ 12V,Schottky Diode (Body),N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,172W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN1R2-25YLD.pdf,PSMN1R2-25YLD/LFPAK/REEL 7 Q1,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN1R5-30YLC,115",,,100A (Tc),30V,"4.5V, 10V",1.95V @ 1mA,±20V,"1.55mOhm @ 25A, 10V",65nC @ 10V,4044pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,179W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN1R5-30YLC.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN1R4-30YLDX,,,100A (Tc),30V,"4.5V, 10V",2.2V @ 1mA,±20V,"1.42mOhm @ 25A, 10V",54.8nC @ 10V,3840pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,166W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN1R4-30YLD.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN2R0-30YL,115",,,100A (Tc),30V,"4.5V, 10V",2.15V @ 1mA,±20V,"2mOhm @ 15A, 10V",64nC @ 10V,3980pF @ 12V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,97W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN2R0-30YL.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN5R2-60YLX,,,100A (Tc),60V,"5V, 10V",2.1V @ 1mA,±20V,"5.2mOhm @ 25A, 10V",39.4nC @ 5V,6319pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,195W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN5R2-60YL.pdf,MOSFET N-CH 60V LFPAK56,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN2R0-30YLDX,,,100A (Tc),30V,"4.5V, 10V",2.2V @ 1mA,±20V,"2mOhm @ 25A, 10V",46nC @ 10V,2969pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,142W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN2R0-30YLD.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN2R2-30YLC,115",,,100A (Tc),30V,"4.5V, 10V",1.95V @ 1mA,±20V,"2.15mOhm @ 25A, 10V",55nC @ 10V,3310pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,141W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN2R2-30YLC.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN2R0-25YLDX,,,100A (Tc),25V,"4.5V, 10V",2.2V @ 1mA,±20V,"2.09mOhm @ 25A, 10V",34.1nC @ 10V,2485pF @ 12V,Schottky Diode (Body),N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,115W  (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN2R0-25YLD.pdf,PSMN2R0-25YLD/LFPAK/REEL 7 Q1,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN013-80YS,115",,,60A (Tc),80V,10V,4V @ 1mA,±20V,"12.9mOhm @ 15A, 10V",37nC @ 10V,2420pF @ 40V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,106W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN013-80YS.pdf,MOSFET N-CH 80V 60A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN2R4-30YLDX,,,100A (Tc),30V,"4.5V, 10V",2.2V @ 1mA,±20V,"2.4mOhm @ 25A, 10V",31.3nC @ 10V,2256pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,106W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN2R4-30YLD.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN2R5-30YL,115",,,100A (Tc),30V,"4.5V, 10V",2.15V @ 1mA,±20V,"2.4mOhm @ 15A, 10V",57nC @ 10V,3468pF @ 12V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,88W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN2R5-30YL.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN3R0-30YLDX,,,100A (Tc),30V,"4.5V, 10V",2.2V @ 1mA,±20V,"3.1mOhm @ 25A, 10V",46.4nC @ 10V,2939pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,91W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN3R0-30YLD.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN3R5-30YL,115",,,100A (Tc),30V,"4.5V, 10V",2.15V @ 1mA,±20V,"3.5mOhm @ 15A, 10V",41nC @ 10V,2458pF @ 12V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,74W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN3R5-30YL.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN018-80YS,115",,,45A (Tc),80V,10V,4V @ 1mA,±20V,"18mOhm @ 5A, 10V",26nC @ 10V,1640pF @ 40V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,89W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN018-80YS.pdf,MOSFET N-CH 80V 45A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN4R0-30YL,115",,,100A (Tc),30V,"4.5V, 10V",2.15V @ 1mA,±20V,"4mOhm @ 15A, 10V",36.6nC @ 10V,2090pF @ 12V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,69W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN4R0-30YL.pdf,MOSFET N-CH 30V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN013-60YLX,,,53A (Tc),60V,"5V, 10V",2.1V @ 1mA,±20V,"13mOhm @ 15A, 10V",33.2nC @ 10V,2603pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,95W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN013-60YL.pdf,MOSFET N-CH 60V LFPAK56,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN069-100YS,115",,,17A (Tc),100V,10V,4V @ 1mA,±20V,"72.4mOhm @ 5A, 10V",14nC @ 10V,645pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,56W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN069-100YS.pdf,MOSFET N-CH LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,PSMN1R0-40YLDX,,,100A (Tc),40V,"4.5V, 10V",2.2V @ 1mA,±20V,"1.1mOhm @ 25A, 10V",127nC @ 10V,8845pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,198W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN1R0-40YLD.pdf,MOSFET N-CH 40V 100A LFPAK,Surface Mount,,1,-55°C ~ 150°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN6R0-30YL,115",,,79A (Tc),30V,"4.5V, 10V",2.15V @ 1mA,±20V,"6mOhm @ 15A, 10V",24nC @ 10V,1425pF @ 12V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,55W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN6R0-30YL.pdf,MOSFET N-CH 30V 79A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"PSMN013-30YLC,115",,,32A (Tc),30V,10V,1.95V @ 1mA,±20V,"13.6mOhm @ 10A, 10V",8.3nC @ 10V,521pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,26W (Tc),,,https://assets.nexperia.com/documents/data-sheet/PSMN013-30YLC.pdf,MOSFET N-CH 30V 32A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK7Y10-30B,115",,,67A (Tc),30V,10V,4V @ 1mA,±20V,"10mOhm @ 25A, 10V",18.8nC @ 10V,1183pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,85W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y10-30B.pdf,MOSFET N-CH 30V 67A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y25-80E,115",,,37A (Tc),80V,"5V, 10V",2.1V @ 1mA,±10V,"27mOhm @ 10A, 5V",17.1nC @ 5V,2703pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,95W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y25-80E.pdf,MOSFET N-CH 80V LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y38-100EX,,,30A (Tc),100V,10V,4V @ 1mA,±20V,"29mOhm @ 5A, 10V",30.9nC @ 10V,1720pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,95W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y38-100E.pdf,MOSFET N-CH 100V 30A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y11-30B,115",,,59A (Tc),30V,"4.5V, 10V",2V @ 1mA,±15V,"9mOhm @ 25A, 10V",16.5nC @ 5V,1614pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,75W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y11-30B.pdf,MOSFET N-CH 30V 59A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y38-100E,115",,,30A (Tc),100V,"5V, 10V",2.1V @ 1mA,±10V,"38mOhm @ 5A, 5V",21.6nC @ 5V,2541pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,94.9W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y38-100E.pdf,MOSFET N-CH 100V 30A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK7Y53-100B,115",,,24.8A (Tc),100V,10V,4V @ 1mA,±20V,"53mOhm @ 10A, 10V",22nC @ 10V,1467pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,85W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y53-100B.pdf,MOSFET N-CH 100V 24.8A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y22-30B,115",,,37.7A (Tc),30V,"5V, 10V",2V @ 1mA,±15V,"19mOhm @ 20A, 10V",10.5nC @ 5V,940pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,59.4W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y22-30B.pdf,MOSFET N-CH 30V 37.7A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y65-100E,115",,,19A (Tc),100V,5V,2.1V @ 1mA,±10V,"63.3mOhm @ 5A, 10V",14nC @ 5V,1523pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,64W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y65-100E.pdf,MOSFET N-CH 100V LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y41-80EX,,,25A (Tc),80V,10V,4V @ 1mA,±20V,"41mOhm @ 5A, 10V",16.4nC @ 10V,1119pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,64W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y41-80E.pdf,MOSFET N-CH 80V 25A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y72-80EX,,,16A (Tc),80V,10V,4V @ 1mA,±20V,"72mOhm @ 5A, 10V",9.8nC @ 10V,633pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,45W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y72-80E.pdf,MOSFET N-CH 80V 16A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK7Y102-100B,115",,,15A (Tc),100V,10V,4V @ 1mA,±20V,"102mOhm @ 5A, 10V",12.2nC @ 10V,779pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,60W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y102-100B.pdf,MOSFET N-CH 100V 15A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK7Y18-55B,115",,,47.4A (Tc),55V,10V,4V @ 1mA,±20V,"18mOhm @ 20A, 10V",21.9nC @ 10V,1263pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,85W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y18-55B.pdf,MOSFET N-CH 55V 47.4A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y21-40EX,,,33A (Tc),40V,10V,4V @ 1mA,±20V,"21mOhm @ 10A, 10V",10nC @ 10V,617pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,45W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y21-40E.pdf,MOSFET N-CH 40V 33A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y4R4-40E,115",,,100A (Tc),40V,5V,2.1V @ 1mA,±10V,"3.7mOhm @ 25A, 10V",26.8nC @ 5V,4077pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,147W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y4R4-40E.pdf,MOSFET N-CH 40V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK7Y08-40B,115",,,75A (Tc),40V,10V,4V @ 1mA,±20V,"8mOhm @ 25A, 10V",36.3nC @ 10V,2040pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,105W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y08-40B.pdf,MOSFET N-CH 40V 75A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK7Y07-30B,115",,,75A (Tc),30V,10V,4V @ 1mA,±20V,"7mOhm @ 25A, 10V",31nC @ 10V,1773pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,105W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y07-30B.pdf,MOSFET N-CH 30V 75A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y7R6-40EX,,,79A (Tc),40V,10V,4V @ 1mA,±20V,"7.6mOhm @ 20A, 10V",26.2nC @ 10V,1650pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,94.3W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y7R6-40E.pdf,MOSFET N-CH 40V 79A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y65-100EX,,,19A (Tc),100V,10V,4V @ 1mA,±20V,"65mOhm @ 5A, 10V",17.8nC @ 10V,1023pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,64W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y65-100E.pdf,MOSFET N-CH 100V 19A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y12-40EX,,,52A (Tc),40V,10V,4V @ 1mA,±20V,"12mOhm @ 15A, 10V",15nC @ 10V,1039pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,65W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y12-40E.pdf,MOSFET N-CH 40V 52A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y72-80E,115",,,15A (Tc),80V,"5V, 10V",2.1V @ 1mA,±10V,"72mOhm @ 5A, 10V",7.9nC @ 5V,898pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,45W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y72-80E.pdf,MOSFET N-CH 80V LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y25-60EX,,,34A (Tc),60V,10V,4V @ 1mA,±20V,"25mOhm @ 10A, 10V",16.1nC @ 10V,1043pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,64W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y25-60E.pdf,MOSFET N-CH 60V 34A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y25-60E,115",,,34A (Tc),60V,5V,2.1V @ 1mA,±10V,"21.5mOhm @ 10A, 10V",12nC @ 5V,1500pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,65W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y25-60E.pdf,MOSFET N-CH 60V 34A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y153-100E,115",,,9.4A (Tc),100V,5V,2.1V @ 1mA,±10V,"146mOhm @ 2A, 10V",6.8nC @ 5V,716pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,37W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y153-100E.pdf,MOSFET N-CH 100V 9.4A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y59-60EX,,,17A (Tc),60V,10V,4V @ 1mA,±20V,"59mOhm @ 5A, 10V",7.8nC @ 10V,494pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,37W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y59-60E.pdf,MOSFET N-CH 60V 17A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y59-60E,115",,,16.7A (Tc),60V,5V,2.1V @ 1mA,±10V,"52mOhm @ 5A, 10V",6.1nC @ 5V,715pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,37W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y59-60E.pdf,MOSFET N-CH 60V LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y43-60E,115",,,22A (Tc),60V,5V,2.1V @ 1mA,±10V,"41mOhm @ 5A, 10V",8.2nC @ 5V,880pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,45W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y43-60E.pdf,MOSFET N-CH 60V 22A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7Y4R8-60EX,,,100A (Tc),60V,10V,4V @ 1mA,±20V,"4.8mOhm @ 25A, 10V",73.1nC @ 10V,5520pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,238W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK7Y4R8-60E.pdf,MOSFET N-CH 60V 100A LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,"BUK9Y12-100E,115",,,85A (Tc),100V,5V,2.1V @ 1mA,±10V,"12mOhm @ 25A, 5V",64nC @ 5V,7973pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SC-100, SOT-669",,238W (Tc),,,https://assets.nexperia.com/documents/data-sheet/BUK9Y12-100E.pdf,MOSFET N-CH 100V LFPAK,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
N CHANNEL,BUK7J1R4-40HX,,,120A (Ta),40V,10V,3.6V @ 1mA,"+20V, -10V","1.4mOhm @ 25A, 10V",126nC @ 10V,8155pF @ 25V,,N-Channel,MOSFET (Metal Oxide),,"SOT-1023, 4-LFPAK",,395W (Ta),,,https://assets.nexperia.com/documents/data-sheet/BUK7J1R4-40H.pdf,MOSFET N-CH 40V 120A LFPAK56,Surface Mount,,1,-55°C ~ 175°C (TJ),,Nexperia USA Inc.,,,
