Part Type,Part Number,Schematic Part,Part Value,Current - Continuous Drain (Id) @ 25°C,Drain to Source Voltage (Vdss),"Drive Voltage (Max Rds On,  Min Rds On)",Vgs(th) (Max) @ Id,Vgs (Max),"Rds On (Max) @ Id, Vgs",Gate Charge (Qg) (Max) @ Vgs,Input Capacitance (Ciss) (Max) @ Vds,FET Feature,FET Type,Technology,Allegro PCB Footprint,Package / Case,Pspice Model,Power Dissipation (Max),Technology,Availability,Data Sheet,Description,Mounting Type,Size,Number of FET,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
N CHANNEL,BSC252N10NSFGATMA1,,,"7.2A (Ta), 40A (Tc)",100V,10V,4V @ 43µA,±20V,"25.2mOhm @ 20A, 10V",17nC @ 10V,1100pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,78W (Tc),,,https://www.infineon.com/dgdl/BSC252N10NSF+Rev2.06.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431b3e89eb011b498909e97b17,MOSFET N-CH 100V 40A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC022N04LS6ATMA1,,,"27A (Ta), 100A (Tc)",40V,"4.5V, 10V",2.3V @ 250µA,±20V,"2.2mOhm @ 50A, 10V",28nC @ 10V,1900pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"3W (Ta), 79W (Tc)",,,https://www.infineon.com/dgdl/Infineon-BSC022N04LS6-DS-v02_00-EN.pdf?fileId=5546d462689a790c0168bd1094dc481b,TRENCH <= 40V,Surface Mount,,1,-55°C ~ 175°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC123N08NS3GATMA1,,,"11A (Ta), 55A (Tc)",80V,"6V, 10V",3.5V @ 33µA,±20V,"12.3mOhm @ 33A, 10V",25nC @ 10V,1870pF @ 40V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 66W (Tc)",,,https://www.infineon.com/dgdl/BSC123N08NS3G_rev2.5.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30431add1d95011ae80eb8555625,MOSFET N-CH 80V 55A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC109N10NS3GATMA1,,,63A (Tc),100V,"6V, 10V",3.5V @ 45µA,±20V,"10.9mOhm @ 46A, 10V",35nC @ 10V,2500pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,78W (Tc),,,https://www.infineon.com/dgdl/BSC109N10NS3+Rev2.0.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a304327b897500128247bdae36f3f,MOSFET N-CH 100V 63A 8TDSON,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC020N03LSGATMA1,,,"28A (Ta), 100A (Tc)",30V,"4.5V, 10V",2.2V @ 250µA,±20V,"2mOhm @ 30A, 10V",93nC @ 10V,7200pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 96W (Tc)",,,https://www.infineon.com/dgdl/BSC020N03LS_rev1.27.pdf?folderId=db3a304412b407950112b408e8c90004&fileId=db3a304412b407950112b427641b3c1f,MOSFET N-CH 30V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC070N10NS3GATMA1,,,90A (Tc),100V,"6V, 10V",3.5V @ 75µA,±20V,"7mOhm @ 50A, 10V",55nC @ 10V,4000pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,114W (Tc),,,https://www.infineon.com/dgdl/BSC070N10NS3+Rev2+1.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a304327b89750012824712c6c6f2f,MOSFET N-CH 100V 90A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC030N03LSGATMA1,,,"23A (Ta), 100A (Tc)",30V,"4.5V, 10V",2.2V @ 250µA,±20V,"3mOhm @ 30A, 10V",55nC @ 10V,4300pF @ 15V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 69W (Tc)",,,https://www.infineon.com/dgdl/BSC030N03LS_rev1.25.pdf?folderId=db3a304412b407950112b408e8c90004&fileId=db3a304412b407950112b42766953c23,MOSFET N-CH 30V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC030N04NSGATMA1,,,"23A (Ta), 100A (Tc)",40V,10V,4V @ 49µA,±20V,"3mOhm @ 50A, 10V",61nC @ 10V,4900pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 83W (Tc)",,,https://www.infineon.com/dgdl/BSC030N04NSG_rev1.04.pdf?folderId=db3a3043156fd5730115c7d50620107c&fileId=db3a30431689f4420116c45f30440837,MOSFET N-CH 40V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC035N04LSGATMA1,,,"21A (Ta), 100A (Tc)",40V,"4.5V, 10V",2V @ 36µA,±20V,"3.5mOhm @ 50A, 10V",64nC @ 10V,5100pF @ 20V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,"2.5W (Ta), 69W (Tc)",,,https://www.infineon.com/dgdl/BSC035N04LSG_rev1.02.pdf?folderId=db3a3043156fd5730115c7d50620107c&fileId=db3a30431689f4420116c4388f820817,MOSFET N-CH 40V 100A TDSON-8,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
N CHANNEL,BSC160N10NS3GATMA1,,,"8.8A (Ta), 42A (Tc)",100V,"6V, 10V",3.5V @ 33µA,±20V,"16mOhm @ 33A, 10V",25nC @ 10V,1700pF @ 50V,,N-Channel,MOSFET (Metal Oxide),,8-PowerTDFN,,60W (Tc),,,https://www.infineon.com/dgdl/BSC160N10NS3+Rev2.3.pdf?folderId=db3a304313b8b5a60113cee8763b02d7&fileId=db3a30432239cccd01226040189a7f47,MOSFET N-CH 100V 42A 8TDSON,Surface Mount,,1,-55°C ~ 150°C (TJ),,Infineon Technologies,,,
