Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Number of Resistors,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,EXB-N8V363JX,,36k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 36K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V754JX,,750k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 750K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V820JX,,82,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 82 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V113JX,,11k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 11K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V152JX,,1.5k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 1.5K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V242JX,,2.4k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 2.4K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V243JX,,24k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 24K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V2R2JX,,2.2,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 2.2 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V2R4JX,,2.4,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 2.4 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V304JX,,300k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 300K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V391JX,,390,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 390 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V430JX,,43,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 43 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V434JX,,430k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 430K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V514JX,,510k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 510K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V563JX,,56k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 56K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V564JX,,560k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 560K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V5R6JX,,5.6,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 5.6 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V822JX,,8.2k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 8.2K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V824JX,,820k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 820K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,CAT10-150J4LF,,15,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.bourns.com/docs/Product-Datasheets/CAT10.pdf,RES ARRAY 4 RES 15 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±250ppm/°C,-55°C ~ 125°C,,Bourns Inc.,,,
,741C083151JP,,150,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.ctscorp.com/wp-content/uploads/74x.pdf,RES ARRAY 4 RES 150 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,CTS Resistor Products,,,
,741C083390JP,,39,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.ctscorp.com/wp-content/uploads/74x.pdf,RES ARRAY 4 RES 39 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,CTS Resistor Products,,,
,741C083560JP,,56,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.ctscorp.com/wp-content/uploads/74x.pdf,RES ARRAY 4 RES 56 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,CTS Resistor Products,,,
,741C083331JP,,330,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.ctscorp.com/wp-content/uploads/74x.pdf,RES ARRAY 4 RES 330 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,CTS Resistor Products,,,
,741C083221JP,,220,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.ctscorp.com/wp-content/uploads/74x.pdf,RES ARRAY 4 RES 220 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,CTS Resistor Products,,,
,CAT10-330J4LF,,33,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.bourns.com/docs/Product-Datasheets/CAT10.pdf,RES ARRAY 4 RES 33 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±250ppm/°C,-55°C ~ 125°C,,Bourns Inc.,,,
,CAT10-220J4LF,,22,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.bourns.com/docs/Product-Datasheets/CAT10.pdf,RES ARRAY 4 RES 22 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±250ppm/°C,-55°C ~ 125°C,,Bourns Inc.,,,
,CAT10-472J4LF,,4.7k,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.bourns.com/docs/Product-Datasheets/CAT10.pdf,RES ARRAY 4 RES 4.7K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±250ppm/°C,-55°C ~ 125°C,,Bourns Inc.,,,
,CAT10-100J4LF,,10,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.bourns.com/docs/Product-Datasheets/CAT10.pdf,RES ARRAY 4 RES 10 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±250ppm/°C,-55°C ~ 125°C,,Bourns Inc.,,,
,CAT10-390J4LF,,39,±5%,,,0804 Concave Long Side Terminals,,62.5mW,,https://www.bourns.com/docs/Product-Datasheets/CAT10.pdf,RES ARRAY 4 RES 39 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±250ppm/°C,-55°C ~ 125°C,,Bourns Inc.,,,
,EXB-N8V301JX,,300,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 300 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V753JX,,75k,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 75K OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
,EXB-N8V221JX,,220,±5%,,,0804 Concave Long Side Terminals,,31mW,,https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf,RES ARRAY 4 RES 220 OHM 0804,Surface Mount,0.079 L x 0.039 W (2.00mm x 1.00mm),8,4,±200ppm/°C,-55°C ~ 125°C,,Panasonic Electronic Components,,,
