"Absolute Pull Range (APR)","Base Resonator","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Current - Supply (Max)","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Frequency","Frequency Stability","Function","Height - Seated (Max)","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Output","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Spread Spectrum Bandwidth","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Type","Value","Voltage - Supply"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 24.576MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322524.576MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","24.576","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 25MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322525MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","25","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 26MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322526MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","26","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 27MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322527MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","27","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 30MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322530MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","30","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 32MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322532MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","32","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 33.3333MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322533.3333MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","33.3333","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 37.125MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322537.125MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","37.125","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 38.4MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322538.4MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","38.4","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 40MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322540MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","40","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 48MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322548MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","48","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 50MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322550MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","50","1.8V ~ 3.3V"
"","Crystal","Value","Datasheet","https://atta.szlcsc.com/upload/public/pdf/source/20210329/C669065_30B18CFE780D377BA4E84F6ED1951959.pdf","","","","","","","","","","","5mA","XTAL OSC XO 54MHZ CMOS SMD","","","","","OSCCC320X250X100L75X100N","","","","±20ppm","Enable/Disable","0.039 (1.00mm)","","","YXC","OT322554MJBA4SL","1","Surface Mount","-40°C ~ 80°C, -40°C ~ 125°C","CMOS","4-SMD, No Lead","TapeAndReel","","","","","YSO110TR","0.126 L x 0.098 W (3.20mm x 2.50mm)","","","","","","","","","","","","","","","oscillators\XO_Crystal_4P_1T3C","XO (Standard)","54","1.8V ~ 3.3V"
