Part Type,Part Number,Schematic Part,Part Value,Type,Absolute Pull Range (APR),Base Resonator,Current - Supply (Max),Frequency,Frequency Stability,Function,Output,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Oscillator,ASDM1-80.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,80MHz,XO (Standard),,MEMS,10mA,80MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 80.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-100.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,100MHz,XO (Standard),,MEMS,10mA,100MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 100.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-18.432MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,18.432MHz,XO (Standard),,MEMS,10mA,18.432MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 18.4320MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-25.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,25MHz,XO (Standard),,MEMS,10mA,25MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 25.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-50.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,50MHz,XO (Standard),,MEMS,10mA,50MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 50.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-8.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,8MHz,XO (Standard),,MEMS,10mA,8MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 8.0000MHZ LVCMOS SMD,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDM1-48.000MHZ-LC-T,oscillators\MEMS_Crystal_4P_1S3C,48MHz,XO (Standard),,MEMS,10mA,48MHz,±50ppm,Standby (Power Down),LVCMOS,3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDM.pdf,MEMS OSC XO 48.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-25.000MHZ-T,oscillators\MEMS_Crystal_4P_1S3C,25MHz,XO (Standard),,MEMS,16mA,25MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 25.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,,,Abracon LLC,,,
Oscillator,ASDMB-29.500MHZ-LR-T,oscillators\MEMS_Crystal_4P_1S3C,29.5MHz,XO (Standard),,MEMS,16mA,29.5MHz,±25ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 29.5000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,-40°C ~ 85°C,,Abracon LLC,,,
Oscillator,ASDMB-50.000MHZ-C-T,oscillators\MEMS_Crystal_4P_1S3C,50MHz,XO (Standard),,MEMS,16mA,50MHz,±50ppm,Standby (Power Down),LVCMOS,1.8V ~ 3.3V,"Crystal_XTAL250X200X50-4N,Crystal_SC250X200X50-4N","4-SMD, No Lead",,,,https://abracon.com/Oscillators/ASDMB.pdf,MEMS OSC XO 50.0000MHZ LVCMOS,Surface Mount,0.035 (0.90mm),0.098 L x 0.079 W (2.50mm x 2.00mm),,,,Abracon LLC,,,
